阈值方法,item_no,item_text,importance_mean,performance_mean,importance_threshold,performance_threshold,quadrant,is_priority
均值阈值,1,①丰富的中医药文化展示和非遗体验项目,3.7367773677736777,3.724477244772448,3.738991389913899,3.689052890528906,Q4_可能过度投入,0
均值阈值,2,②环境舒适度与卫生状况,3.7392373923739237,3.6728167281672817,3.738991389913899,3.689052890528906,Q2_优先改进,1
均值阈值,3,③便捷的交通、充足的停车位,3.715867158671587,3.6432964329643296,3.738991389913899,3.689052890528906,Q3_低优先级,0
均值阈值,4,④亲友推荐/正面评价多,3.6961869618696186,3.713407134071341,3.738991389913899,3.689052890528906,Q4_可能过度投入,0
均值阈值,5,⑤特色美食、文创产品的种类及品质,3.742927429274293,3.5731857318573184,3.738991389913899,3.689052890528906,Q2_优先改进,1
均值阈值,6,⑥提供个性化中医体质辨识、养生咨询等服务,3.761377613776138,3.7035670356703565,3.738991389913899,3.689052890528906,Q1_保持优势,0
均值阈值,7,⑦服务专业度与态度,3.8265682656826567,3.7207872078720787,3.738991389913899,3.689052890528906,Q1_保持优势,0
均值阈值,8,⑧产品价格与优惠力度,3.7170971709717096,3.6961869618696186,3.738991389913899,3.689052890528906,Q4_可能过度投入,0
均值阈值,9,⑨中医药服务专业度,3.772447724477245,3.6961869618696186,3.738991389913899,3.689052890528906,Q1_保持优势,0
均值阈值,10,⑩线上线下宣传推广,3.6814268142681428,3.7466174661746616,3.738991389913899,3.689052890528906,Q4_可能过度投入,0
中位数阈值,1,①丰富的中医药文化展示和非遗体验项目,3.7367773677736777,3.724477244772448,3.7380073800738005,3.6998769987699873,Q4_可能过度投入,0
中位数阈值,2,②环境舒适度与卫生状况,3.7392373923739237,3.6728167281672817,3.7380073800738005,3.6998769987699873,Q2_优先改进,1
中位数阈值,3,③便捷的交通、充足的停车位,3.715867158671587,3.6432964329643296,3.7380073800738005,3.6998769987699873,Q3_低优先级,0
中位数阈值,4,④亲友推荐/正面评价多,3.6961869618696186,3.713407134071341,3.7380073800738005,3.6998769987699873,Q4_可能过度投入,0
中位数阈值,5,⑤特色美食、文创产品的种类及品质,3.742927429274293,3.5731857318573184,3.7380073800738005,3.6998769987699873,Q2_优先改进,1
中位数阈值,6,⑥提供个性化中医体质辨识、养生咨询等服务,3.761377613776138,3.7035670356703565,3.7380073800738005,3.6998769987699873,Q1_保持优势,0
中位数阈值,7,⑦服务专业度与态度,3.8265682656826567,3.7207872078720787,3.7380073800738005,3.6998769987699873,Q1_保持优势,0
中位数阈值,8,⑧产品价格与优惠力度,3.7170971709717096,3.6961869618696186,3.7380073800738005,3.6998769987699873,Q3_低优先级,0
中位数阈值,9,⑨中医药服务专业度,3.772447724477245,3.6961869618696186,3.7380073800738005,3.6998769987699873,Q2_优先改进,1
中位数阈值,10,⑩线上线下宣传推广,3.6814268142681428,3.7466174661746616,3.7380073800738005,3.6998769987699873,Q4_可能过度投入,0
