var1,var2,var1_code,var2_code,count
C008,C006,1,1,254
C008,C006,1,2,211
C008,C006,1,3,159
C008,C006,1,4,23
C008,C006,2,1,78
C008,C006,2,2,46
C008,C006,2,3,37
C008,C006,2,4,5
C008,C007,1,1,117
C008,C007,1,2,174
C008,C007,1,3,261
C008,C007,1,4,62
C008,C007,1,5,33
C008,C007,2,1,35
C008,C007,2,2,58
C008,C007,2,3,51
C008,C007,2,4,17
C008,C007,2,5,5
C008,C090,1,1,180
C008,C090,1,2,236
C008,C090,1,3,144
C008,C090,1,4,48
C008,C090,1,5,39
C008,C090,2,1,49
C008,C090,2,2,61
C008,C090,2,3,27
C008,C090,2,4,16
C008,C090,2,5,13
C008,C091,1,1,207
C008,C091,1,2,195
C008,C091,1,3,160
C008,C091,1,4,41
C008,C091,1,5,44
C008,C091,2,1,49
C008,C091,2,2,49
C008,C091,2,3,44
C008,C091,2,4,15
C008,C091,2,5,9
C008,C024,1,1,125
C008,C024,1,2,181
C008,C024,1,3,250
C008,C024,1,4,91
C008,C024,2,1,28
C008,C024,2,2,53
C008,C024,2,3,64
C008,C024,2,4,21
C008,C025,1,1,110
C008,C025,1,2,173
C008,C025,1,3,221
C008,C025,1,4,79
C008,C025,1,5,64
C008,C025,2,1,29
C008,C025,2,2,40
C008,C025,2,3,65
C008,C025,2,4,20
C008,C025,2,5,12
