check_item,doc_value,recomputed_value,source,status,note
paragraph.old_caliber_tokens,0,0,待填数据.docx,PASS,检查段落是否残留526/600份/87.67%旧口径
paragraph.formal_allocation.1,813/813/647/166/100.00%,813/813/647/166/100.00%,待填数据.docx + 原始数据_Amethyst.xlsx(Q8),PASS,正式调查回收口径
paragraph.overall_sample.1,813/813/100.00%,813/813/100.00%,待填数据.docx + 原始数据_Amethyst.xlsx,PASS,正式调查总样本口径
paragraph.gender_age.1,813;420;393;51.66;48.34;3;38.38;2;28.54;4;18.70,813;420;393;51.66;48.34;3;38.38;2;28.54;4;18.70,"待填数据.docx + 原始数据_Amethyst.xlsx(Q1,Q2)",PASS,样本结构（性别+年龄核心占比）
table3.文化体验维度.dim_name,文化体验维度,文化体验维度,待填数据.docx(table3),PASS,维度名称一致性
table3.文化体验维度.item_count,3,3,"原始数据_Amethyst.xlsx(C052,C053,C054)",PASS,题项数
table3.文化体验维度.alpha,0.8077,0.8077,"原始数据_Amethyst.xlsx(C052,C053,C054) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.文化体验维度.grade,良好,良好,alpha=0.8077,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.非遗体验维度.dim_name,非遗体验维度,非遗体验维度,待填数据.docx(table3),PASS,维度名称一致性
table3.非遗体验维度.item_count,2,2,"原始数据_Amethyst.xlsx(C053,C054)",PASS,题项数
table3.非遗体验维度.alpha,0.7070,0.7070,"原始数据_Amethyst.xlsx(C053,C054) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.非遗体验维度.grade,可接受,可接受,alpha=0.7070,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.产品体验维度.dim_name,产品体验维度,产品体验维度,待填数据.docx(table3),PASS,维度名称一致性
table3.产品体验维度.item_count,3,3,"原始数据_Amethyst.xlsx(C055,C056,C057)",PASS,题项数
table3.产品体验维度.alpha,0.7441,0.7441,"原始数据_Amethyst.xlsx(C055,C056,C057) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.产品体验维度.grade,可接受,可接受,alpha=0.7441,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.配套保障维度.dim_name,配套保障维度,配套保障维度,待填数据.docx(table3),PASS,维度名称一致性
table3.配套保障维度.item_count,4,4,"原始数据_Amethyst.xlsx(C058,C059,C060,C061)",PASS,题项数
table3.配套保障维度.alpha,0.8273,0.8273,"原始数据_Amethyst.xlsx(C058,C059,C060,C061) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.配套保障维度.grade,良好,良好,alpha=0.8273,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.宣传策略维度.dim_name,宣传策略维度,宣传策略维度,待填数据.docx(table3),PASS,维度名称一致性
table3.宣传策略维度.item_count,3,3,"原始数据_Amethyst.xlsx(C062,C063,C065)",PASS,题项数
table3.宣传策略维度.alpha,0.7877,0.7877,"原始数据_Amethyst.xlsx(C062,C063,C065) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.宣传策略维度.grade,可接受,可接受,alpha=0.7877,PASS,评级规则：>=0.8良好，>=0.7可接受
table3.整体量表.dim_name,整体量表,整体量表,待填数据.docx(table3),PASS,维度名称一致性
table3.整体量表.item_count,13,13,"原始数据_Amethyst.xlsx(C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C065)",PASS,题项数
table3.整体量表.alpha,0.8243,0.8243,"原始数据_Amethyst.xlsx(C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C065) + cronbach_alpha",PASS,Cronbach alpha（4位小数）
table3.整体量表.grade,良好,良好,alpha=0.8243,PASS,评级规则：>=0.8良好，>=0.7可接受
table4.KMO,0.9382,0.9382,原始数据_Amethyst.xlsx(C052-C089) + kmo_bartlett,PASS,KMO（4位小数）
table4.Bartlett_chi2,14747.692,14747.692,原始数据_Amethyst.xlsx(C052-C089) + kmo_bartlett,PASS,Bartlett近似卡方（3位小数）
table4.Bartlett_df,666,666,原始数据_Amethyst.xlsx(C052-C089) + kmo_bartlett,PASS,自由度df
table4.Bartlett_p,<0.001,<0.001,原始数据_Amethyst.xlsx(C052-C089) + kmo_bartlett,PASS,显著性p
table5.row2.var,文化程度,文化程度,待填数据.docx(table5),PASS,分组标题
table5.row2.attr,初中及以下,初中及以下,待填数据.docx(table5),PASS,属性名称
table5.row2.count,69,69,原始数据_Amethyst.xlsx(Q3),PASS,人数
table5.row2.pct,8.49%,8.49%,原始数据_Amethyst.xlsx(Q3),PASS,比例（2位小数）
table5.row2.total,100%,100%,待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row3.var,,,待填数据.docx(table5),PASS,分组标题
table5.row3.attr,中专/高中,中专/高中,待填数据.docx(table5),PASS,属性名称
table5.row3.count,95,95,原始数据_Amethyst.xlsx(Q3),PASS,人数
table5.row3.pct,11.69%,11.69%,原始数据_Amethyst.xlsx(Q3),PASS,比例（2位小数）
table5.row3.total,,,待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row4.var,,,待填数据.docx(table5),PASS,分组标题
table5.row4.attr,大专,大专,待填数据.docx(table5),PASS,属性名称
table5.row4.count,203,203,原始数据_Amethyst.xlsx(Q3),PASS,人数
table5.row4.pct,24.97%,24.97%,原始数据_Amethyst.xlsx(Q3),PASS,比例（2位小数）
table5.row4.total,,,待填数据.docx(table5),PASS,组首行为100%，其余留空
table5.row5.var,,,待填数据.docx(table5),PASS,分组标题
table5.row5.attr,本科,本科,待填数据.docx(table5),PASS,属性名称
table5.row5.count,285,285,原始数据_Amethyst.xlsx(Q3),PASS,人数
table5.row5.pct,35.06%,35.06%,原始数据_Amethyst.xlsx(Q3),PASS,比例（2位小数）
table5.row5.total,,,待填数据.docx(table5),PASS,组首行为100%，其余留空
