respondent_id,col_idx,marker_text
6,23,无
6,32,无
8,4,无
10,4,无
14,100,无
15,4,无
22,42,无
37,15,无
41,4,无
41,100,无
43,32,无
44,4,无
45,100,无
46,23,无
48,42,无
52,4,无
53,100,无
54,4,无
57,107,无
58,23,无
63,15,无
64,42,无
67,32,无
74,107,无
80,23,无
84,4,无
88,23,无
99,15,无
102,4,无
106,4,无
110,4,无
113,15,无
118,107,无
120,107,无
136,23,无
138,42,无
141,4,无
142,23,无
143,4,无
147,32,无
147,100,无
149,32,无
151,23,无
152,42,无
155,15,无
159,4,无
173,23,无
174,42,无
182,23,无
184,15,无
186,15,无
188,107,无
189,23,无
189,32,无
192,42,无
194,107,无
195,32,无
196,107,无
198,15,无
204,107,无
210,107,无
211,107,无
214,23,无
217,4,无
218,4,无
222,15,无
229,107,无
233,107,无
237,100,无
240,15,无
244,23,无
249,107,无
250,4,无
263,107,无
266,15,无
266,42,无
272,42,无
276,23,无
278,107,无
289,100,无
312,23,无
313,107,无
315,32,无
316,4,无
319,32,无
327,4,无
327,107,无
333,42,无
335,15,无
343,23,无
344,4,无
345,23,无
353,23,无
358,42,无
361,32,无
364,4,无
374,23,无
378,4,无
378,32,无
378,51,无
384,42,无
385,107,无
387,107,无
396,4,无
397,15,无
398,23,无
402,107,无
405,107,无
407,100,无
410,32,无
412,32,无
426,42,无
427,4,无
427,23,无
436,32,无
439,23,无
448,32,无
449,107,无
462,4,无
465,23,无
467,32,无
473,23,无
479,107,无
484,107,无
486,15,无
506,15,无
509,100,无
510,100,无
517,4,无
520,23,无
520,32,无
529,42,无
532,32,无
535,42,无
538,15,无
540,4,无
543,107,无
544,4,无
548,100,无
549,4,无
553,15,无
557,4,无
559,15,无
564,15,无
567,23,无
569,23,无
569,32,无
574,23,无
575,107,无
577,32,无
578,23,无
583,4,无
589,4,无
589,107,无
592,32,无
594,107,无
599,4,无
601,4,无
604,42,无
605,4,无
606,100,无
607,100,无
613,100,无
617,107,无
623,15,无
625,107,无
631,107,无
633,107,无
635,15,无
636,15,无
640,15,无
642,32,无
645,15,无
650,4,无
652,15,无
653,15,无
663,42,无
671,107,无
684,32,无
692,4,无
695,23,无
696,15,无
700,15,无
704,4,无
707,23,无
707,107,无
712,15,无
726,4,无
729,100,无
729,107,无
739,107,无
744,15,无
749,15,无
753,107,无
754,107,无
759,23,无
761,23,无
763,32,无
773,107,无
774,42,无
777,100,无
782,107,无
784,107,无
785,15,无
786,15,无
790,23,无
791,15,无
795,100,无
797,4,无
801,32,无
809,42,无
