模块,模型,阈值,n,TP,FP,TN,FN,accuracy,precision,recall,f1,auc,pseudo_r2,说明
阈值敏感性,base(Q11>=3 & Q12>=3),0.4,813,8,17,562,226,0.7011070110701108,0.32,0.03418803418803419,0.061776061776061784,0.5693171250166069,0.009951704160373831,基线模型阈值比较
阈值敏感性,base(Q11>=3 & Q12>=3),0.5,813,0,0,579,234,0.7121771217712177,nan,0.0,nan,0.5693171250166069,0.009951704160373831,基线模型阈值比较
阈值敏感性,base(Q11>=3 & Q12>=3),0.6,813,0,0,579,234,0.7121771217712177,nan,0.0,nan,0.5693171250166069,0.009951704160373831,基线模型阈值比较
共线性检查,base(Q11>=3 & Q12>=3),,813,,,,,,,,,,,"Q2_age_code: VIF=1.007, R2=0.007"
共线性检查,base(Q11>=3 & Q12>=3),,813,,,,,,,,,,,"Q6_habit_code: VIF=1.009, R2=0.009"
共线性检查,base(Q11>=3 & Q12>=3),,813,,,,,,,,,,,"Q7_knowledge_code: VIF=1.014, R2=0.014"
共线性检查,base(Q11>=3 & Q12>=3),,813,,,,,,,,,,,"Q8_visit_status_code: VIF=1.011, R2=0.011"
共线性检查,base(Q11>=3 & Q12>=3),,813,,,,,,,,,,,"perception_mean: VIF=1.508, R2=0.337"
共线性检查,base(Q11>=3 & Q12>=3),,813,,,,,,,,,,,"performance_mean: VIF=1.306, R2=0.234"
共线性检查,base(Q11>=3 & Q12>=3),,813,,,,,,,,,,,"cognition_mean: VIF=1.285, R2=0.222"
共线性检查,base(Q11>=3 & Q12>=3),,813,,,,,,,,,,,"motive_count: VIF=1.004, R2=0.004"
替代因变量稳健性,alt_stay(Q11>=3),0.5,813,,,,,0.5313653136531366,,,,0.5375283570501389,0.005366111197809276,与基线方向一致=3，方向反转=5
替代因变量稳健性,alt_spend(Q12>=3),0.5,813,,,,,0.5793357933579336,,,,0.5646722786432656,0.010215563976887831,与基线方向一致=6，方向反转=2
