阈值方法,item_no,item_text,importance_mean,performance_mean,importance_threshold,performance_threshold,quadrant,is_priority
均值阈值,1,①丰富的中医药文化展示和非遗体验项目,3.7637877211238293,3.739854318418314,3.7552549427679494,3.7039542143600412,Q1_保持优势,0
均值阈值,2,②环境舒适度与卫生状况,3.761706555671176,3.695109261186264,3.7552549427679494,3.7039542143600412,Q2_优先改进,1
均值阈值,3,③便捷的交通、充足的停车位,3.732570239334027,3.6659729448491154,3.7552549427679494,3.7039542143600412,Q3_低优先级,0
均值阈值,4,④亲友推荐/正面评价多,3.705515088449532,3.716961498439126,3.7552549427679494,3.7039542143600412,Q4_可能过度投入,0
均值阈值,5,⑤特色美食、文创产品的种类及品质,3.7513007284079083,3.6045785639958376,3.7552549427679494,3.7039542143600412,Q3_低优先级,0
均值阈值,6,⑥提供个性化中医体质辨识、养生咨询等服务,3.7710718002081167,3.7221644120707595,3.7552549427679494,3.7039542143600412,Q1_保持优势,0
均值阈值,7,⑦服务专业度与态度,3.8397502601456814,3.7356919875130075,3.7552549427679494,3.7039542143600412,Q1_保持优势,0
均值阈值,8,⑧产品价格与优惠力度,3.739854318418314,3.7023933402705516,3.7552549427679494,3.7039542143600412,Q3_低优先级,0
均值阈值,9,⑨中医药服务专业度,3.793964620187305,3.7117585848074923,3.7552549427679494,3.7039542143600412,Q1_保持优势,0
均值阈值,10,⑩线上线下宣传推广,3.693028095733611,3.745057232049948,3.7552549427679494,3.7039542143600412,Q4_可能过度投入,0
中位数阈值,1,①丰富的中医药文化展示和非遗体验项目,3.7637877211238293,3.739854318418314,3.756503642039542,3.7143600416233093,Q1_保持优势,0
中位数阈值,2,②环境舒适度与卫生状况,3.761706555671176,3.695109261186264,3.756503642039542,3.7143600416233093,Q2_优先改进,1
中位数阈值,3,③便捷的交通、充足的停车位,3.732570239334027,3.6659729448491154,3.756503642039542,3.7143600416233093,Q3_低优先级,0
中位数阈值,4,④亲友推荐/正面评价多,3.705515088449532,3.716961498439126,3.756503642039542,3.7143600416233093,Q4_可能过度投入,0
中位数阈值,5,⑤特色美食、文创产品的种类及品质,3.7513007284079083,3.6045785639958376,3.756503642039542,3.7143600416233093,Q3_低优先级,0
中位数阈值,6,⑥提供个性化中医体质辨识、养生咨询等服务,3.7710718002081167,3.7221644120707595,3.756503642039542,3.7143600416233093,Q1_保持优势,0
中位数阈值,7,⑦服务专业度与态度,3.8397502601456814,3.7356919875130075,3.756503642039542,3.7143600416233093,Q1_保持优势,0
中位数阈值,8,⑧产品价格与优惠力度,3.739854318418314,3.7023933402705516,3.756503642039542,3.7143600416233093,Q3_低优先级,0
中位数阈值,9,⑨中医药服务专业度,3.793964620187305,3.7117585848074923,3.756503642039542,3.7143600416233093,Q2_优先改进,1
中位数阈值,10,⑩线上线下宣传推广,3.693028095733611,3.745057232049948,3.756503642039542,3.7143600416233093,Q4_可能过度投入,0
