模块,模型,阈值,n,TP,FP,TN,FN,accuracy,precision,recall,f1,auc,pseudo_r2,说明
阈值敏感性,base(Q11>=3 & Q12>=3),0.4,961,1,1,724,235,0.7544224765868887,0.5,0.00423728813559322,0.008403361344537815,0.588208649912332,0.031242590685568117,基线模型阈值比较
阈值敏感性,base(Q11>=3 & Q12>=3),0.5,961,1,0,725,235,0.7554630593132154,1.0,0.00423728813559322,0.008438818565400843,0.588208649912332,0.031242590685568117,基线模型阈值比较
阈值敏感性,base(Q11>=3 & Q12>=3),0.6,961,1,0,725,235,0.7554630593132154,1.0,0.00423728813559322,0.008438818565400843,0.588208649912332,0.031242590685568117,基线模型阈值比较
共线性检查,base(Q11>=3 & Q12>=3),,961,,,,,,,,,,,"Q2_age_code: VIF=1.006, R2=0.006"
共线性检查,base(Q11>=3 & Q12>=3),,961,,,,,,,,,,,"Q6_habit_code: VIF=1.124, R2=0.111"
共线性检查,base(Q11>=3 & Q12>=3),,961,,,,,,,,,,,"Q7_knowledge_code: VIF=1.143, R2=0.125"
共线性检查,base(Q11>=3 & Q12>=3),,961,,,,,,,,,,,"Q8_visit_status_code: VIF=1.175, R2=0.149"
共线性检查,base(Q11>=3 & Q12>=3),,961,,,,,,,,,,,"perception_mean: VIF=1.627, R2=0.386"
共线性检查,base(Q11>=3 & Q12>=3),,961,,,,,,,,,,,"performance_mean: VIF=1.418, R2=0.295"
共线性检查,base(Q11>=3 & Q12>=3),,961,,,,,,,,,,,"cognition_mean: VIF=1.380, R2=0.275"
共线性检查,base(Q11>=3 & Q12>=3),,961,,,,,,,,,,,"motive_count: VIF=1.300, R2=0.231"
替代因变量稳健性,alt_stay(Q11>=3),0.5,961,,,,,0.5577523413111343,,,,0.6164761529365392,0.06611807082185861,与基线方向一致=6，方向反转=2
替代因变量稳健性,alt_spend(Q12>=3),0.5,961,,,,,0.5962539021852237,,,,0.6362200322429663,0.06755944104109501,与基线方向一致=7，方向反转=1
