var1,var2,var1_code,var2_code,count
C008,C006,1,1,259
C008,C006,1,2,219
C008,C006,1,3,168
C008,C006,1,4,28
C008,C006,2,1,87
C008,C006,2,2,64
C008,C006,2,3,96
C008,C006,2,4,40
C008,C007,1,1,123
C008,C007,1,2,177
C008,C007,1,3,274
C008,C007,1,4,66
C008,C007,1,5,34
C008,C007,2,1,37
C008,C007,2,2,66
C008,C007,2,3,67
C008,C007,2,4,81
C008,C007,2,5,36
C008,C090,1,1,39
C008,C090,1,2,49
C008,C090,1,3,146
C008,C090,1,4,252
C008,C090,1,5,188
C008,C090,2,1,17
C008,C090,2,2,19
C008,C090,2,3,64
C008,C090,2,4,121
C008,C090,2,5,66
C008,C091,1,1,44
C008,C091,1,2,44
C008,C091,1,3,161
C008,C091,1,4,210
C008,C091,1,5,215
C008,C091,2,1,13
C008,C091,2,2,19
C008,C091,2,3,74
C008,C091,2,4,121
C008,C091,2,5,60
C008,C024,1,1,144
C008,C024,1,2,188
C008,C024,1,3,250
C008,C024,1,4,92
C008,C024,2,1,124
C008,C024,2,2,75
C008,C024,2,3,65
C008,C024,2,4,23
C008,C025,1,1,129
C008,C025,1,2,179
C008,C025,1,3,221
C008,C025,1,4,79
C008,C025,1,5,66
C008,C025,2,1,128
C008,C025,2,2,56
C008,C025,2,3,69
C008,C025,2,4,22
C008,C025,2,5,12
