feature_set,preprocess,k,layer_id,layer_name,variable,variable_label,test,statistic,df,p_value,effect_size,cluster_stats,is_sig_with_effect,score_included
baseline,zscore,2,all,全样本对照,C090,到访意愿,kruskal_epsilon2,0.11026205913866466,1,0.7398459822722032,0.0,C1=3.760|C2=3.701,0,1
baseline,zscore,2,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,7.068735308320263,1,0.007844060464268571,0.006911999212209866,C1=3.856|C2=3.632,0,1
baseline,zscore,2,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,0.00892476748607628,1,0.9247350279440252,0.003674495547432776,C1=0.689|C2=0.685,0,1
baseline,zscore,2,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,0.04720219763728714,1,0.8280052077711355,0.008450460571401752,C1=0.407|C2=0.399,0,1
baseline,zscore,2,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,1.1304582510133347,1,0.2876776142363551,0.04135485803294292,C1=0.526|C2=0.568,0,1
baseline,zscore,2,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,0.6345663496067094,1,0.42568527738853446,0.03098402178642385,C1=0.604|C2=0.634,0,1
baseline,zscore,2,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,0.03187731431728188,1,0.858297189051425,0.0,C1=3.744|C2=3.716,0,0
baseline,zscore,2,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,5.190005113660907,1,0.022717149415839074,0.006358126120881497,C1=3.859|C2=3.652,0,0
baseline,zscore,2,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.6881058318064062,1,0.40680940570896307,0.05605386482369514,C1=0.514|C2=0.570,0,1
baseline,zscore,2,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,1.7282939491586093,1,0.1886289227207406,0.08883554014303659,C1=0.429|C2=0.342,0,1
baseline,zscore,2,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,3.1363033671134337,1,0.07656716367823518,0.11967046394644433,C1=0.257|C2=0.368,0,1
baseline,zscore,2,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,0.12447859626445912,1,0.7242269548695889,0.0,C1=3.800|C2=3.649,0,0
baseline,zscore,2,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,2.3487451485906132,1,0.1253839016930147,0.006215415431293149,C1=3.848|C2=3.561,0,0
baseline,zscore,3,all,全样本对照,C090,到访意愿,kruskal_epsilon2,0.5269487353780646,2,0.7683773174731546,0.0,C1=3.763|C2=3.735|C3=3.659,0,1
baseline,zscore,3,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,3.4522346707417357,2,0.17797408389763936,0.0016559118252471331,C1=3.835|C2=3.675|C3=3.642,0,1
baseline,zscore,3,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,0.6260243565908463,2,0.7312410072456444,0.030774774937472937,C1=0.701|C2=0.690|C3=0.665,0,1
baseline,zscore,3,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,0.5212034448568267,2,0.7705877663302092,0.028080375369155194,C1=0.397|C2=0.391|C3=0.425,0,1
baseline,zscore,3,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,0.3996168174236278,2,0.8188876297852671,0.024587883607745914,C1=0.534|C2=0.560|C3=0.559,0,1
baseline,zscore,3,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,0.09799535532594804,2,0.9521833409865654,0.012175926456001145,C1=0.620|C2=0.617|C3=0.631,0,1
baseline,zscore,3,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,0.70512385558925,2,0.7028850403424668,0.0,C1=3.739|C2=3.762|C3=3.665,0,0
baseline,zscore,3,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,1.6521907262894933,2,0.43775522881114637,0.0,C1=3.821|C2=3.718|C3=3.654,0,0
baseline,zscore,3,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.5896597004018997,2,0.7446582801439644,0.05188940207303664,C1=0.520|C2=0.580|C3=0.540,0,1
baseline,zscore,3,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,2.9554504255808607,2,0.22815610510607637,0.11616887458671388,C1=0.440|C2=0.362|C3=0.300,0,1
baseline,zscore,3,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,4.619736231884057,2,0.09927434339958421,0.14524009773591506,C1=0.250|C2=0.333|C3=0.420,0,1
baseline,zscore,3,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,0.17878672575561053,2,0.9144857780566229,0.0,C1=3.820|C2=3.638|C3=3.640,0,0
baseline,zscore,3,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,3.6400851581947817,2,0.16201885217052453,0.00759298684349436,C1=3.870|C2=3.522|C3=3.600,0,0
baseline,zscore,4,all,全样本对照,C090,到访意愿,kruskal_epsilon2,0.48153945460117176,3,0.922927986795727,0.0,C1=3.738|C2=3.793|C3=3.711|C4=3.667,0,1
baseline,zscore,4,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,4.5550802318676755,3,0.20742956151131034,0.001775205744141182,C1=3.837|C2=3.798|C3=3.624|C4=3.657,0,1
baseline,zscore,4,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,0.7443360292830581,3,0.862729374295304,0.033557051230201244,C1=0.713|C2=0.677|C3=0.680|C4=0.675,0,1
baseline,zscore,4,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,1.2632700855168397,3,0.7378728767739524,0.04371670049816261,C1=0.368|C2=0.423|C3=0.407|C4=0.417,0,1
baseline,zscore,4,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,3.1774992393608796,3,0.3650595698086527,0.0693333201858185,C1=0.580|C2=0.485|C3=0.552|C4=0.571,0,1
baseline,zscore,4,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,1.6716481235714356,3,0.6432553517502613,0.05028884982678377,C1=0.638|C2=0.585|C3=0.608|C4=0.650,0,1
baseline,zscore,4,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,0.4000389241996405,3,0.9402344538924389,0.0,C1=3.736|C2=3.746|C3=3.747|C4=3.681,0,0
baseline,zscore,4,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,2.5974906425524837,3,0.45792963949336507,0.0,C1=3.845|C2=3.746|C3=3.675|C4=3.687,0,0
baseline,zscore,4,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,19.87940552245098,3,0.0001797956376062017,0.30128647695906685,C1=0.627|C2=0.338|C3=0.729|C4=0.545,1,1
baseline,zscore,4,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,9.622414060428143,3,0.02206411459882274,0.209613844357302,C1=0.492|C2=0.265|C3=0.479|C4=0.318,1,1
baseline,zscore,4,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,10.358910477066825,3,0.015749177509944142,0.21748784122910622,C1=0.339|C2=0.191|C3=0.312|C4=0.477,1,1
baseline,zscore,4,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,0.6522653836165375,3,0.8843699170480357,0.0,C1=3.746|C2=3.882|C3=3.562|C4=3.614,0,0
baseline,zscore,4,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,4.48907768906026,3,0.2132666040967454,0.006925942739815165,C1=3.814|C2=3.897|C3=3.417|C4=3.545,0,0
baseline,robust,2,all,全样本对照,C090,到访意愿,kruskal_epsilon2,61.089062073099264,1,5.455036856023777e-15,0.06843856728143424,C1=3.055|C2=3.900,1,1
baseline,robust,2,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,56.90768432149426,1,4.56757573511711e-14,0.06367617804270417,C1=3.072|C2=3.897,1,1
baseline,robust,2,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,2.326193368880329,1,0.1272126269572985,0.059322873170563686,C1=0.739|C2=0.672,0,1
baseline,robust,2,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,3.118285938547543,1,0.07741818007205366,0.06868426235265401,C1=0.338|C2=0.420,0,1
baseline,robust,2,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,3.483677439551411,1,0.061976866565040166,0.07259692711716789,C1=0.620|C2=0.532,0,1
baseline,robust,2,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,2.8910432092199243,1,0.08907323232196414,0.0661342696155277,C1=0.683|C2=0.605,0,1
baseline,robust,2,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,45.726986901357215,1,1.3593701846529549e-11,0.06787099681541307,C1=3.077|C2=3.906,1,0
baseline,robust,2,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,40.00234880738117,1,2.536576646124643e-10,0.05918414083062393,C1=3.092|C2=3.913,1,0
baseline,robust,2,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.0821308985132514,1,0.7744301862687746,0.019365612147579096,C1=0.564|C2=0.539,0,1
baseline,robust,2,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,0.12132003798670472,1,0.7276071885294408,0.023536626270453432,C1=0.359|C2=0.389,0,1
baseline,robust,2,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,1.0635050167224076,1,0.30241713111119833,0.06968634938759453,C1=0.385|C2=0.300,0,1
baseline,robust,2,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,15.404230091455775,1,8.67937834383736e-05,0.06637894051362109,C1=2.974|C2=3.883,1,0
baseline,robust,2,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,18.36488843979081,1,1.8238816192988176e-05,0.08002252737230789,C1=3.000|C2=3.850,1,0
baseline,robust,3,all,全样本对照,C090,到访意愿,kruskal_epsilon2,65.22756289799187,2,6.855114019480954e-15,0.07209528266589724,C1=3.056|C2=3.603|C3=3.933,1,1
baseline,robust,3,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,56.438738137753575,2,5.55243816359193e-13,0.0620738177169368,C1=3.078|C2=3.740|C3=3.912,1,1
baseline,robust,3,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,2.6417084528856902,2,0.26690720536403834,0.06321813989376283,C1=0.738|C2=0.714|C3=0.668,0,1
baseline,robust,3,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,3.870574752062869,2,0.14438277071339137,0.07652212115338754,C1=0.340|C2=0.357|C3=0.427,0,1
baseline,robust,3,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,5.385547405131741,2,0.06769291871328728,0.0902639213608786,C1=0.624|C2=0.607|C3=0.522,0,1
baseline,robust,3,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,4.198875265799125,2,0.12252531308693519,0.07970136455892966,C1=0.688|C2=0.661|C3=0.597,0,1
baseline,robust,3,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,46.74285782242195,2,7.078111336401847e-11,0.06799826416781451,C1=3.078|C2=3.714|C3=3.927,1,0
baseline,robust,3,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,38.866825480996745,2,3.6322529257012877e-09,0.05602861015349049,C1=3.099|C2=3.821|C3=3.920,1,0
baseline,robust,3,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,6.212244847304603,2,0.044774234684617165,0.16842332032077653,C1=0.564|C2=0.824|C3=0.509,1,1
baseline,robust,3,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,5.413326024657673,2,0.06675921009098448,0.15722081183557077,C1=0.359|C2=0.647|C3=0.362,0,1
baseline,robust,3,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,1.4277295785663504,2,0.4897477632553019,0.08074226367980146,C1=0.385|C2=0.235|C3=0.307,0,1
baseline,robust,3,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,19.9104303865241,2,4.7479373028876306e-05,0.08291865919687084,C1=2.974|C2=3.235|C3=3.951,1,0
baseline,robust,3,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,19.71220523007674,2,5.242627741034318e-05,0.08200095013924417,C1=3.000|C2=3.471|C3=3.890,1,0
baseline,robust,4,all,全样本对照,C090,到访意愿,kruskal_epsilon2,118.72858997084512,3,1.4495884797327068e-25,0.1321102625237958,C1=3.756|C2=2.402|C3=3.603|C4=3.931,1,1
baseline,robust,4,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,94.94469161053013,3,1.8975865663154648e-20,0.10495969361932662,C1=3.644|C2=2.554|C3=3.740|C4=3.910,1,1
baseline,robust,4,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,3.1916635830473385,3,0.36300788859983735,0.0694876819812083,C1=0.732|C2=0.754|C3=0.714|C4=0.667,0,1
baseline,robust,4,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,3.6516615923019877,3,0.3016182358658463,0.07432664539236845,C1=0.352|C2=0.333|C3=0.357|C4=0.426,0,1
baseline,robust,4,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,5.889974673358026,3,0.11708763687656905,0.09439651998571266,C1=0.634|C2=0.623|C3=0.607|C4=0.520,0,1
baseline,robust,4,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,4.7926707542493485,3,0.18762373587096234,0.08515066965080698,C1=0.704|C2=0.681|C3=0.661|C4=0.596,0,1
baseline,robust,4,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,83.04620780783982,3,6.8152733683698875e-18,0.12183593273643809,C1=3.704|C2=2.435|C3=3.714|C4=3.925,1,0
baseline,robust,4,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,70.52058527196206,3,3.3020219565824096e-15,0.10277105825260588,C1=3.676|C2=2.522|C3=3.821|C4=3.916,1,0
baseline,robust,4,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,6.7597133505306815,3,0.0799639399131643,0.1756879933489748,C1=0.474|C2=0.609|C3=0.824|C4=0.512,0,1
baseline,robust,4,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,5.633787140619024,3,0.130852076215525,0.1603903221413828,C1=0.316|C2=0.348|C3=0.647|C4=0.369,0,1
baseline,robust,4,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,1.1256998864613998,3,0.7708739294972476,0.0716950634978499,C1=0.316|C2=0.391|C3=0.235|C4=0.312,0,1
baseline,robust,4,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,37.89972428228058,3,2.968069304052227e-08,0.16232429898735154,C1=3.947|C2=2.304|C3=3.235|C4=3.950,1,0
baseline,robust,4,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,25.948016557463383,3,9.779438291386388e-06,0.10673496073238783,C1=3.526|C2=2.652|C3=3.471|C4=3.894,1,0
enhanced,zscore,2,all,全样本对照,C090,到访意愿,kruskal_epsilon2,74.04786128910507,1,7.624580126378308e-18,0.08319801969146363,C1=3.946|C2=3.120,1,1
enhanced,zscore,2,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,53.00108139541975,1,3.3336478306634165e-13,0.05922674418612728,C1=3.920|C2=3.197,1,1
enhanced,zscore,2,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,2.425254571912351,1,0.11939384436917269,0.060572839985356515,C1=0.669|C2=0.732,0,1
enhanced,zscore,2,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,3.559360236738166,1,0.05921055539261967,0.07338127316106287,C1=0.425|C2=0.344,0,1
enhanced,zscore,2,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,4.5645172607955855,1,0.03264087217541716,0.08309917211771668,C1=0.525|C2=0.617,1,1
enhanced,zscore,2,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,3.351790444955017,1,0.06713195790294652,0.07120946116909228,C1=0.600|C2=0.678,0,1
enhanced,zscore,2,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,46.93238348571183,1,7.347850230900237e-12,0.06970012668545043,C1=3.935|C2=3.186,1,0
enhanced,zscore,2,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,34.34320904411429,1,4.620096351302164e-09,0.05059667533249513,C1=3.927|C2=3.240,1,0
enhanced,zscore,2,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,1.1134806863922044,1,0.29132657421428493,0.07130488549780313,C1=0.524|C2=0.608,0,1
enhanced,zscore,2,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,0.020772753545862957,1,0.8853997422072821,0.009739237953617442,C1=0.381|C2=0.392,0,1
enhanced,zscore,2,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,1.017874802094751,1,0.3130236429838278,0.06817499649102576,C1=0.298|C2=0.373,0,1
enhanced,zscore,2,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,29.432977629040696,1,5.788422945857854e-08,0.13102754667760688,C1=3.976|C2=2.882,1,0
enhanced,zscore,2,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,21.23211314289243,1,4.068897531104957e-06,0.0932355444372923,C1=3.899|C2=3.039,1,0
enhanced,zscore,3,all,全样本对照,C090,到访意愿,kruskal_epsilon2,89.34338139131309,2,3.974946004436091e-20,0.09959336532646874,C1=3.935|C2=3.773|C3=2.909,1,1
enhanced,zscore,3,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,64.61882017864282,2,9.293974673201305e-15,0.07140116325956992,C1=3.917|C2=3.659|C3=3.042,1,1
enhanced,zscore,3,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,3.0002715258924173,2,0.2230998693967274,0.06737201713416932,C1=0.667|C2=0.743|C3=0.730,0,1
enhanced,zscore,3,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,4.358561922802691,2,0.11312284109340517,0.08120277678344158,C1=0.428|C2=0.357|C3=0.333,0,1
enhanced,zscore,3,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,5.983097963461505,2,0.05020960270012341,0.09513982037650207,C1=0.520|C2=0.643|C3=0.611,0,1
enhanced,zscore,3,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,4.971677749746786,2,0.08325568410845162,0.0867262874831813,C1=0.596|C2=0.714|C3=0.667,0,1
enhanced,zscore,3,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,58.24203503724088,2,2.2537346627577825e-13,0.08547421738182505,C1=3.929|C2=3.729|C3=2.984,1,0
enhanced,zscore,3,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,44.503265380953266,2,2.168895907023654e-10,0.0645946282385308,C1=3.923|C2=3.700|C3=3.071,1,0
enhanced,zscore,3,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,4.251595920419447,2,0.1193377035241055,0.1393329824625716,C1=0.512|C2=0.500|C3=0.692,0,1
enhanced,zscore,3,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,1.3142178808845475,2,0.5183477445452213,0.07746608864454031,C1=0.370|C2=0.333|C3=0.462,0,1
enhanced,zscore,3,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,0.11911969940955441,2,0.9421791427602182,0.023322211903680088,C1=0.309|C2=0.333|C3=0.333,0,1
enhanced,zscore,3,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,33.034682832576905,2,6.708258153646708e-08,0.14367908718785605,C1=3.951|C2=3.944|C3=2.667,1,0
