feature_set,preprocess,k,silhouette,calinski_harabasz,davies_bouldin,cluster_size_distribution,stratified_sig_n,stratified_mean_effect,stratified_external_score,visited_sig_n,unvisited_sig_n,all_sig_n,visited_scored_sig_n,unvisited_scored_sig_n,all_scored_sig_n
baseline,zscore,2,0.14897901353966622,143.21057944538276,2.3957998198233073,375|505,0,0.0395484115626208,0.395484115626208,0,0,0,0,0,0
baseline,zscore,3,0.14028630164236838,125.24263104661158,2.2316770601845,334|317|229,0,0.045619249621254215,0.45619249621254215,0,0,0,0,0,0
baseline,zscore,4,0.13515426435394995,106.65287937736144,2.171330192295972,233|198|242|207,3,0.10300658778117583,4.030065877811758,0,3,0,0,3,0
baseline,robust,2,0.4068815656185522,464.3513255619534,1.1507994929836882,181|699,2,0.05682685170951986,2.5682685170951984,2,2,2,0,0,2
baseline,robust,3,0.3257953280644569,339.3946215691829,1.2161676953047478,180|73|627,3,0.09447344924288238,3.944734492428824,2,3,2,0,1,2
baseline,robust,4,0.3395258311395953,299.46207901598336,1.2494111513962896,90|92|73|625,2,0.10757831690460293,3.075783169046029,2,2,2,0,0,2
enhanced,zscore,2,0.18766918017419323,136.1077893109648,2.3254293746113452,646|234,3,0.06443407002814062,3.6443407002814063,3,2,2,1,0,2
enhanced,zscore,3,0.1567748130459771,102.2597433543222,2.130929131654335,627|88|165,2,0.08239519037490277,2.8239519037490277,2,2,2,0,0,2
enhanced,zscore,4,0.09058376284155181,91.1039687028719,2.5773063396915648,286|351|87|156,4,0.10609298384255103,5.06092983842551,3,3,2,1,1,2
enhanced,robust,2,0.3269790728132302,295.0629125794282,1.4609753264020353,182|698,5,0.06164512208723405,5.6164512208723405,5,2,2,3,0,2
enhanced,robust,3,0.26733375945219773,221.3923723298503,1.4239891130987372,176|74|630,4,0.09961559199999709,4.996155919999971,3,3,2,1,1,2
enhanced,robust,4,0.27892828070691666,195.4319891343525,1.4500907424087155,90|91|74|625,2,0.10581833080309762,3.0581833080309764,2,2,2,0,0,2
