row_index,included_runs,consistency_rate
0,75,1.0
1,82,1.0
2,83,1.0
3,88,1.0
4,84,0.9047619047619048
5,82,1.0
6,77,1.0
7,87,1.0
8,86,1.0
9,75,0.9066666666666666
10,79,1.0
11,85,1.0
12,85,1.0
13,77,1.0
14,91,1.0
15,79,1.0
16,85,1.0
17,82,1.0
18,90,1.0
19,84,1.0
20,89,1.0
21,74,1.0
22,85,1.0
23,86,1.0
24,79,1.0
25,78,0.5897435897435898
26,82,1.0
27,86,0.872093023255814
28,75,1.0
29,82,1.0
30,90,1.0
31,82,1.0
32,84,1.0
33,76,1.0
34,91,0.967032967032967
35,86,1.0
36,83,1.0
37,77,1.0
38,82,1.0
39,81,1.0
40,91,1.0
41,78,1.0
42,83,1.0
43,98,1.0
44,86,1.0
45,84,1.0
46,86,1.0
47,81,1.0
48,86,1.0
49,92,0.5543478260869565
50,87,1.0
51,84,1.0
52,74,1.0
53,76,1.0
54,91,1.0
55,80,1.0
56,86,1.0
57,75,1.0
58,83,1.0
59,83,1.0
60,83,1.0
61,92,0.8913043478260869
62,91,1.0
63,87,1.0
64,83,0.9879518072289156
65,89,1.0
66,68,1.0
67,88,1.0
68,77,1.0
69,84,1.0
70,92,1.0
71,85,1.0
72,80,1.0
73,76,0.8289473684210527
74,91,1.0
75,81,0.9259259259259259
76,91,1.0
77,90,1.0
78,85,1.0
79,90,0.9333333333333333
80,87,1.0
81,83,1.0
82,85,1.0
83,92,1.0
84,88,0.45454545454545453
85,82,0.7682926829268293
86,89,1.0
87,76,0.9473684210526315
88,93,1.0
89,89,1.0
90,84,1.0
91,93,1.0
92,84,0.9047619047619048
93,82,1.0
94,82,1.0
95,82,1.0
96,91,0.9120879120879121
97,84,1.0
98,80,1.0
99,80,1.0
100,83,1.0
101,83,1.0
102,85,1.0
103,88,0.9431818181818182
104,83,1.0
105,76,1.0
106,87,1.0
107,76,1.0
108,92,1.0
109,74,1.0
110,89,1.0
111,85,1.0
112,71,1.0
113,85,0.9058823529411765
114,88,1.0
115,82,1.0
116,90,1.0
117,83,1.0
118,82,1.0
119,85,1.0
120,85,1.0
121,85,1.0
122,78,1.0
123,82,1.0
124,84,1.0
125,79,1.0
126,72,1.0
127,84,1.0
128,84,1.0
129,84,1.0
130,83,0.9518072289156626
131,76,1.0
132,81,1.0
133,83,1.0
134,83,1.0
135,74,1.0
136,86,0.8372093023255814
137,77,1.0
