feature_set,preprocess,k,layer_id,layer_name,variable,variable_label,test,statistic,df,p_value,effect_size,cluster_stats,is_sig_with_effect,score_included
baseline,zscore,2,all,全样本对照,C090,到访意愿,kruskal_epsilon2,0.21261193787812732,1,0.6447278513815902,0.0,C1=2.228|C2=2.299,0,1
baseline,zscore,2,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,3.107700799225344,1,0.07792288856741673,0.0024536679851284563,C1=2.169|C2=2.336,0,1
baseline,zscore,2,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,0.1603564754055465,1,0.6888285304861604,0.015622860908337435,C1=0.699|C2=0.684,0,1
baseline,zscore,2,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,0.05774291150119389,1,0.8100995958653798,0.009374900222802893,C1=0.411|C2=0.401,0,1
baseline,zscore,2,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,0.5160716104646963,1,0.4725222488546754,0.02802672160626304,C1=0.534|C2=0.563,0,1
baseline,zscore,2,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,0.045854134237603796,1,0.8304411708910808,0.008354232627654178,C1=0.619|C2=0.627,0,1
baseline,zscore,2,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,0.15373191003802386,1,0.6949942204425984,0.0,C1=2.242|C2=2.287,0,0
baseline,zscore,2,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,2.105434812049088,1,0.14677661586685153,0.0016876867359528057,C1=2.165|C2=2.314,0,0
baseline,zscore,2,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.014071738273551496,1,0.9055729668388618,0.008305366288375002,C1=0.583|C2=0.575,0,1
baseline,zscore,2,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,4.407259953161591,1,0.03578627848253061,0.1469837251421887,C1=0.488|C2=0.342,1,1
baseline,zscore,2,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,0.8196428571428572,1,0.3652846066933766,0.06338656910463875,C1=0.298|C2=0.358,0,1
baseline,zscore,2,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,0.04863073469276212,1,0.8254632594593707,0.0,C1=2.190|C2=2.342,0,0
baseline,zscore,2,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,1.2595014741046722,1,0.2617454758284776,0.0012846607628944167,C1=2.179|C2=2.417,0,0
baseline,zscore,3,all,全样本对照,C090,到访意愿,kruskal_epsilon2,1.2023083672794166,2,0.5481785720887016,0.0,C1=2.236|C2=2.205|C3=2.334,0,1
baseline,zscore,3,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,3.9695975370994727,2,0.13740826219890964,0.0022955682250576604,C1=2.157|C2=2.246|C3=2.362,0,1
baseline,zscore,3,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,0.36221420889264017,2,0.8343459917445909,0.023480106184648627,C1=0.692|C2=0.671|C3=0.697,0,1
baseline,zscore,3,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,1.241734509981173,2,0.5374781048404451,0.04347420918782897,C1=0.385|C2=0.441|C3=0.398,0,1
baseline,zscore,3,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,2.320613545068403,2,0.31339002668194704,0.05943177848477721,C1=0.555|C2=0.503|C3=0.576,0,1
baseline,zscore,3,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,1.0842926350769706,2,0.5814988308866635,0.04062473763084874,C1=0.615|C2=0.596|C3=0.643,0,1
baseline,zscore,3,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,0.579259427137486,2,0.7485406907289482,0.0,C1=2.225|C2=2.248|C3=2.309,0,0
baseline,zscore,3,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,2.853444280783358,2,0.24009463031076222,0.0013049606739806696,C1=2.143|C2=2.280|C3=2.318,0,0
baseline,zscore,3,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,8.456912613948482,2,0.01457487232022653,0.20360612463760402,C1=0.633|C2=0.429|C3=0.654,1,1
baseline,zscore,3,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,5.049408807905409,2,0.08008198120550661,0.15732769610059327,C1=0.500|C2=0.302|C3=0.407,0,1
baseline,zscore,3,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,1.1428571428571428,2,0.5647181220077593,0.07484811885651198,C1=0.333|C2=0.286|C3=0.370,0,1
baseline,zscore,3,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,1.2991466972911503,2,0.5222685558198572,0.0,C1=2.267|C2=2.095|C3=2.432,0,0
baseline,zscore,3,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,2.7575866269961096,2,0.2518823127384061,0.0037690876964980575,C1=2.200|C2=2.159|C3=2.531,0,0
baseline,zscore,4,all,全样本对照,C090,到访意愿,kruskal_epsilon2,1.0815138834084708,3,0.7815384753732675,0.0,C1=2.251|C2=2.210|C3=2.356|C4=2.289,0,1
baseline,zscore,4,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,4.123160118428871,3,0.24846849699569515,0.0013105719001503741,C1=2.166|C2=2.229|C3=2.333|C4=2.376,0,1
baseline,zscore,4,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,0.7660157449645948,3,0.8575771339822658,0.03414571124749866,C1=0.710|C2=0.669|C3=0.698|C4=0.680,0,1
baseline,zscore,4,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,1.7411859583105704,3,0.6278163652302715,0.051480160625893924,C1=0.375|C2=0.446|C3=0.396|C4=0.407,0,1
baseline,zscore,4,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,2.6132339125137727,3,0.4551741933052059,0.06306762228747083,C1=0.568|C2=0.500|C3=0.590|C4=0.552,0,1
baseline,zscore,4,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,1.9873416744961512,3,0.5750381400764208,0.05499884701290645,C1=0.631|C2=0.595|C3=0.669|C4=0.608,0,1
baseline,zscore,4,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,0.5927870168035899,3,0.8980816177473382,0.0,C1=2.250|C2=2.264|C3=2.331|C4=2.253,0,0
baseline,zscore,4,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,2.4779310928502367,3,0.47929263485276485,0.0,C1=2.153|C2=2.277|C3=2.288|C4=2.325,0,0
baseline,zscore,4,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,12.130560262977877,3,0.006949039005652283,0.2438514521196705,C1=0.644|C2=0.419|C3=0.543|C4=0.729,1,1
baseline,zscore,4,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,6.751751170187241,3,0.08024564187101185,0.18192531286685248,C1=0.492|C2=0.323|C3=0.286|C4=0.479,0,1
baseline,zscore,4,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,5.340012594704366,3,0.1485270045156985,0.16179163243809053,C1=0.339|C2=0.258|C3=0.486|C4=0.312,0,1
baseline,zscore,4,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,1.5653471797017342,3,0.6672723840680216,0.0,C1=2.254|C2=2.081|C3=2.457|C4=2.438,0,0
baseline,zscore,4,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,4.607285837576674,3,0.20291795588392544,0.00803642918788337,C1=2.203|C2=2.113|C3=2.514|C4=2.583,0,0
baseline,robust,2,all,全样本对照,C090,到访意愿,kruskal_epsilon2,92.1571681202825,1,8.005890546672033e-22,0.10612010258472934,C1=2.069|C2=3.113,1,1
baseline,robust,2,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,65.11817591424006,1,7.05384489771198e-16,0.07464281247292207,C1=2.097|C2=3.006,1,1
baseline,robust,2,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,0.9736937515447469,1,0.32376069243213873,0.03849714357240045,C1=0.681|C2=0.725,0,1
baseline,robust,2,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,1.9601332085582008,1,0.16149907276984649,0.05462105805076262,C1=0.418|C2=0.351,0,1
baseline,robust,2,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,3.569652620542107,1,0.05884461996071467,0.07371065878474521,C1=0.534|C2=0.626,0,1
baseline,robust,2,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,2.1359381994147877,1,0.14388240837994154,0.057017957589637853,C1=0.610|C2=0.679,0,1
baseline,robust,2,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,60.9264037948317,1,5.9248840261636994e-15,0.09149069281653695,C1=2.080|C2=3.038,1,0
baseline,robust,2,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,41.46512795327364,1,1.1999239421721785e-10,0.06177882130270784,C1=2.087|C2=2.954,1,0
baseline,robust,2,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.26611146136069525,1,0.6059522460136547,0.03611741889790223,C1=0.587|C2=0.541,0,1
baseline,robust,2,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,0.48157619942798097,1,0.4877092292088039,0.04858670233978438,C1=0.413|C2=0.351,0,1
baseline,robust,2,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,3.2354749959540374,1,0.07205940447019969,0.1259371730220839,C1=0.305|C2=0.459,0,1
baseline,robust,2,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,32.670073099502254,1,1.0920576056964998e-08,0.15678254009654582,C1=2.036|C2=3.378,1,0
baseline,robust,2,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,26.456640658564325,1,2.6952033389754855e-07,0.12602297355724915,C1=2.126|C2=3.189,1,0
baseline,robust,3,all,全样本对照,C090,到访意愿,kruskal_epsilon2,129.15657445502742,2,8.99510435979587e-29,0.14820113572847018,C1=2.076|C2=2.139|C3=3.518,1,1
baseline,robust,3,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,105.92935253650239,2,9.947944666042751e-24,0.12112978151107505,C1=2.085|C2=2.228|C3=3.412,1,1
baseline,robust,3,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,3.70431337848845,2,0.15689842002478657,0.07508811037959444,C1=0.675|C2=0.794|C3=0.698,0,1
baseline,robust,3,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,2.94750865842887,2,0.2290638875930697,0.06697995631976761,C1=0.421|C2=0.317|C3=0.372,0,1
baseline,robust,3,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,5.9644342712656195,2,0.05068034401175655,0.09528004283189699,C1=0.530|C2=0.683|C3=0.593,0,1
baseline,robust,3,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,6.032963652080813,2,0.04897321191185994,0.09582584764951768,C1=0.604|C2=0.762|C3=0.640,1,1
baseline,robust,3,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,86.40024407413948,2,1.7315115057809022e-19,0.12905236096963224,C1=2.085|C2=2.190|C3=3.430,1,0
baseline,robust,3,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,76.60438101959208,2,2.320438255573623e-17,0.11407397709417749,C1=2.077|C2=2.143|C3=3.430,1,0
baseline,robust,3,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.5034954107776344,2,0.7774408574668246,0.04968012438303566,C1=0.581|C2=0.500|C3=0.607,0,1
baseline,robust,3,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,0.07027903124464512,2,0.9654707086141281,0.018560847370764338,C1=0.406|C2=0.375|C3=0.393,0,1
baseline,robust,3,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,1.3272321428571427,2,0.5149857382457391,0.0806600267540644,C1=0.319|C2=0.312|C3=0.429,0,1
baseline,robust,3,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,43.824385033830794,2,3.045479661398627e-10,0.20808151758124774,C1=2.050|C2=1.938|C3=3.786,1,0
baseline,robust,3,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,31.52984705443719,2,1.423576153598304e-07,0.14691466196237407,C1=2.112|C2=2.562|C3=3.357,1,0
baseline,robust,4,all,全样本对照,C090,到访意愿,kruskal_epsilon2,136.8759986922761,3,1.7823668132754573e-29,0.1562147009244762,C1=2.353|C2=2.056|C3=2.139|C4=3.612,1,1
baseline,robust,4,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,111.40778068579063,3,5.4620125114572535e-24,0.12649682693791206,C1=2.191|C2=2.082|C3=2.228|C4=3.505,1,1
baseline,robust,4,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,4.870370521926327,3,0.18153909198832885,0.08609904142578391,C1=0.736|C2=0.667|C3=0.794|C4=0.705,0,1
baseline,robust,4,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,4.4830665060651205,3,0.21380569877327918,0.08260472810391636,C1=0.340|C2=0.430|C3=0.317|C4=0.372,0,1
baseline,robust,4,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,8.337127453538699,3,0.039534667824738474,0.11264853177074509,C1=0.623|C2=0.518|C3=0.683|C4=0.603,1,1
baseline,robust,4,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,7.8741783664981995,3,0.048684905556322655,0.10947625672330244,C1=0.679|C2=0.594|C3=0.762|C4=0.654,1,1
baseline,robust,4,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,95.4202123258166,3,1.4997066718691007e-20,0.14153171872253692,C1=2.283|C2=2.065|C3=2.190|C4=3.551,1,0
baseline,robust,4,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,82.48797618843712,3,8.979896443256536e-18,0.12172737547999558,C1=2.151|C2=2.076|C3=2.143|C4=3.526,1,0
baseline,robust,4,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,5.922517551055195,3,0.11544137176888,0.1703876426847978,C1=0.867|C2=0.554|C3=0.500|C4=0.600,0,1
baseline,robust,4,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,4.778040351426997,3,0.18879053802297993,0.15304171466813782,C1=0.667|C2=0.385|C3=0.375|C4=0.360,0,1
baseline,robust,4,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,2.5146283783783785,3,0.4726532077242651,0.11102526603405743,C1=0.200|C2=0.331|C3=0.312|C4=0.440,0,1
baseline,robust,4,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,42.2564719622747,3,3.5395311072470965e-09,0.1962823598113735,C1=2.600|C2=2.027|C3=1.938|C4=3.800,1,0
baseline,robust,4,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,31.13108246086972,3,7.977036702765513e-07,0.1406554123043486,C1=2.333|C2=2.101|C3=2.562|C4=3.440,1,0
enhanced,zscore,2,all,全样本对照,C090,到访意愿,kruskal_epsilon2,131.19100995160244,1,2.248912763552546e-30,0.15156112916368153,C1=3.280|C2=2.048,1,1
enhanced,zscore,2,all,全样本对照,C091,推荐意愿,kruskal_epsilon2,85.2544630936567,1,2.6233567503772185e-20,0.09808435750134656,C1=3.115|C2=2.087,1,1
enhanced,zscore,2,visited,到访层(C008=1),C036,到访问题-配套设施不完善,chi2_cramers_v,0.47597867157440094,1,0.49024948167612337,0.026916033583869247,C1=0.715|C2=0.684,0,1
enhanced,zscore,2,visited,到访层(C008=1),C037,到访问题-文化展示不够详细,chi2_cramers_v,0.5991695980479914,1,0.4388950375502838,0.030198974804133454,C1=0.374|C2=0.412,0,1
enhanced,zscore,2,visited,到访层(C008=1),C038,到访问题-价格偏高,chi2_cramers_v,1.4764788949310241,1,0.22432624550444855,0.04740574072916387,C1=0.602|C2=0.541,0,1
enhanced,zscore,2,visited,到访层(C008=1),C040,到访问题-指示标识不清晰,chi2_cramers_v,0.7672062436543439,1,0.3810827131809994,0.03417223462046905,C1=0.659|C2=0.616,0,1
enhanced,zscore,2,visited,到访层(C008=1),C090,到访意愿,kruskal_epsilon2,90.80247303789716,1,1.5875482137931945e-21,0.1371030122715987,C1=3.203|C2=2.056,1,0
enhanced,zscore,2,visited,到访层(C008=1),C091,推荐意愿,kruskal_epsilon2,58.8782756887593,1,1.6773395225622778e-14,0.08836377967749512,C1=3.081|C2=2.071,1,0
enhanced,zscore,2,unvisited,未到访层(C008=2),C044,未到访原因-兴趣不大,chi2_cramers_v,0.78801734331888,1,0.3747003113977766,0.062151670245523045,C1=0.647|C2=0.565,0,1
enhanced,zscore,2,unvisited,未到访层(C008=2),C047,未到访原因-缺乏吸引力,chi2_cramers_v,0.01631347461015585,1,0.8983672277518726,0.008942483592094628,C1=0.412|C2=0.400,0,1
enhanced,zscore,2,unvisited,未到访层(C008=2),C048,未到访原因-预算考虑,chi2_cramers_v,0.4411764705882353,1,0.5065551690490404,0.046504083237770284,C1=0.382|C2=0.324,0,1
enhanced,zscore,2,unvisited,未到访层(C008=2),C090,到访意愿,kruskal_epsilon2,41.43464169886095,1,1.2187833806701924e-10,0.20017149355871758,C1=3.559|C2=2.024,1,0
enhanced,zscore,2,unvisited,未到访层(C008=2),C091,推荐意愿,kruskal_epsilon2,28.019099488974284,1,1.20123978189591e-07,0.13375791826224892,C1=3.235|C2=2.135,1,0
enhanced,zscore,3,all,全样本对照,C090,到访意愿,kruskal_epsilon2,119.57132030658478,2,1.0849699215699348e-26,0.1370295108468354,C1=3.265|C2=2.143|C3=2.052,1,1
