feature_set,preprocess,k,layer_id,layer_name,layer_n,tested_vars_n,sig_vars_n,scored_sig_vars_n,mean_effect,layer_score
baseline,zscore,2,all,全样本对照,861,2,0,0,0.0012268339925642282,0.012268339925642281
baseline,zscore,2,visited,到访层(C008=1),657,6,0,0,0.01051106701683506,0.1051106701683506
baseline,zscore,2,unvisited,未到访层(C008=2),204,5,1,1,0.043992064259619365,1.4399206425961937
baseline,zscore,3,all,全样本对照,861,2,0,0,0.0011477841125288302,0.011477841125288303
baseline,zscore,3,visited,到访层(C008=1),657,6,0,0,0.028052632027014034,0.28052632027014035
baseline,zscore,3,unvisited,未到访层(C008=2),204,5,1,1,0.08791020545824146,1.8791020545824146
baseline,zscore,4,all,全样本对照,861,2,0,0,0.0006552859500751871,0.006552859500751871
baseline,zscore,4,visited,到访层(C008=1),657,6,0,0,0.033948723528961645,0.33948723528961644
baseline,zscore,4,unvisited,未到访层(C008=2),204,5,1,1,0.11912096532249938,2.191209653224994
baseline,robust,2,all,全样本对照,861,2,2,2,0.0903814575288257,2.903814575288257
baseline,robust,2,visited,到访层(C008=1),657,6,2,0,0.06285272201946515,2.6285272201946515
baseline,robust,2,unvisited,未到访层(C008=2),204,5,2,0,0.09868936158271309,2.986893615827131
baseline,robust,3,all,全样本对照,861,2,2,2,0.1346654586197726,3.346654586197726
baseline,robust,3,visited,到访层(C008=1),657,6,3,1,0.09605004920743108,3.9605004920743108
baseline,robust,3,unvisited,未到访层(C008=2),204,5,2,0,0.10077943561029726,3.0077943561029725
baseline,robust,4,all,全样本对照,861,2,2,2,0.14135576393119414,3.4135576393119416
baseline,robust,4,visited,到访层(C008=1),657,6,4,2,0.10901460870438005,5.0901460870438004
baseline,robust,4,unvisited,未到访层(C008=2),204,5,2,0,0.15427847910054304,3.54278479100543
enhanced,zscore,2,all,全样本对照,861,2,2,2,0.12482274333251404,3.24822743332514
enhanced,zscore,2,visited,到访层(C008=1),657,6,2,0,0.06069329594778824,2.6069329594778825
enhanced,zscore,2,unvisited,未到访层(C008=2),204,5,2,0,0.0903055297792709,2.903055297792709
enhanced,zscore,3,all,全样本对照,861,2,2,2,0.11563790329147122,3.156379032914712
enhanced,zscore,3,visited,到访层(C008=1),657,6,4,2,0.10017306009708503,5.00173060097085
enhanced,zscore,3,unvisited,未到访层(C008=2),204,5,2,0,0.09160947723766935,2.9160947723766935
enhanced,zscore,4,all,全样本对照,861,2,2,2,0.14428458379892234,3.4428458379892235
enhanced,zscore,4,visited,到访层(C008=1),657,6,4,2,0.11148815973969968,5.114881597396996
enhanced,zscore,4,unvisited,未到访层(C008=2),204,5,2,0,0.15397663897114217,3.5397663897114215
enhanced,robust,2,all,全样本对照,861,2,2,2,0.09182128718705926,2.9182128718705926
enhanced,robust,2,visited,到访层(C008=1),657,6,3,1,0.0688450005306835,3.688450005306835
enhanced,robust,2,unvisited,未到访层(C008=2),204,5,2,0,0.08919552379636804,2.89195523796368
enhanced,robust,3,all,全样本对照,861,2,2,2,0.13962099070971362,3.3962099070971363
enhanced,robust,3,visited,到访层(C008=1),657,6,4,2,0.10050900695713742,5.0050900695713745
enhanced,robust,3,unvisited,未到访层(C008=2),204,5,2,0,0.10077943561029726,3.0077943561029725
enhanced,robust,4,all,全样本对照,861,2,2,2,0.1443403709560377,3.4434037095603767
enhanced,robust,4,visited,到访层(C008=1),657,6,4,2,0.11148815973969968,5.114881597396996
enhanced,robust,4,unvisited,未到访层(C008=2),204,5,2,0,0.15427847910054304,3.54278479100543
