feature_set,preprocess,k,silhouette,calinski_harabasz,davies_bouldin,cluster_size_distribution,stratified_sig_n,stratified_mean_effect,stratified_external_score,visited_sig_n,unvisited_sig_n,all_sig_n,visited_scored_sig_n,unvisited_scored_sig_n,all_scored_sig_n
baseline,zscore,2,0.15268628896597983,146.0749169232348,2.2701165447642926,320|541,1,0.031389782653932045,1.3138978265393204,0,1,0,0,1,0
baseline,zscore,3,0.13942305329299118,113.73263195793069,2.2731835005340844,242|224|395,1,0.0672320377008745,1.6723203770087451,0,1,0,0,1,0
baseline,zscore,4,0.13285432115054707,108.13582353675999,2.089061088747267,235|210|174|242,1,0.08806347894428151,1.8806347894428153,0,1,0,0,1,0
baseline,robust,2,0.3924862998705684,410.35234030718124,1.2009875976668307,693|168,2,0.06836122525721867,2.683612252572187,2,2,2,0,0,2
baseline,robust,3,0.3030484038848082,307.4408903768481,1.2254260834350406,668|79|114,3,0.08348954143646516,3.8348954143646514,3,2,2,1,0,2
baseline,robust,4,0.3237193860621377,288.44178817674583,1.2010330226287098,68|611|79|103,4,0.12311052325256992,5.2311052325256995,4,2,2,2,0,2
enhanced,zscore,2,0.23803393754593208,165.2356600812182,1.8052337685615336,157|704,2,0.056215189719783516,2.562151897197835,2,2,2,0,0,2
enhanced,zscore,3,0.14645182666537748,112.93692051866587,2.1097450336361616,151|77|633,4,0.08557125519186218,4.8557125519186215,4,2,2,2,0,2
enhanced,zscore,4,0.15448160907995342,96.65152889599203,2.0777536125519696,68|102|78|613,4,0.12460085174290342,5.2460085174290345,4,2,2,2,0,2
enhanced,robust,2,0.3408398673532379,321.5022423868485,1.36217885501762,690|171,3,0.06740651525630154,3.6740651525630152,3,2,2,1,0,2
enhanced,robust,3,0.2600918688147625,225.74376230666138,1.4777391607977732,672|80|109,4,0.08619377642083541,4.8619377642083546,4,2,2,2,0,2
enhanced,robust,4,0.25137940908444456,196.7896771051211,1.4882334227182183,68|611|80|102,4,0.1245523220524796,5.245523220524796,4,2,2,2,0,2
