row_index,included_runs,consistency_rate
0,78,1.0
1,78,1.0
2,85,1.0
3,87,1.0
4,82,1.0
5,79,1.0
6,79,1.0
7,78,1.0
8,85,1.0
9,83,1.0
10,85,1.0
11,78,0.8846153846153846
12,91,1.0
13,93,1.0
14,75,1.0
15,93,1.0
16,91,0.8131868131868132
17,85,1.0
18,81,1.0
19,87,0.6896551724137931
20,82,1.0
21,81,1.0
22,81,1.0
23,88,0.875
24,85,0.9647058823529412
25,82,0.9024390243902439
26,82,1.0
27,79,1.0
28,87,1.0
29,84,1.0
30,79,1.0
31,79,1.0
32,85,1.0
33,91,1.0
34,82,1.0
35,87,0.9885057471264368
36,88,1.0
37,85,0.7411764705882353
38,87,1.0
39,87,1.0
40,80,1.0
41,87,1.0
42,88,0.8181818181818182
43,78,1.0
44,83,1.0
45,78,1.0
46,92,1.0
47,78,1.0
48,88,1.0
49,89,0.797752808988764
50,86,1.0
51,86,1.0
52,73,1.0
53,80,1.0
54,95,0.8736842105263158
55,83,1.0
56,86,0.3488372093023256
57,89,1.0
58,85,1.0
59,83,1.0
60,84,1.0
61,89,1.0
62,80,1.0
63,81,1.0
64,75,1.0
65,87,1.0
66,75,1.0
67,75,0.84
68,86,1.0
69,84,1.0
70,86,0.872093023255814
71,81,1.0
72,86,0.8604651162790697
73,77,1.0
74,92,1.0
75,85,1.0
76,90,1.0
77,87,1.0
78,86,0.9418604651162791
79,86,1.0
80,78,1.0
81,82,0.8414634146341463
82,82,0.5121951219512195
83,86,1.0
84,75,1.0
85,79,1.0
86,88,1.0
87,89,0.8202247191011236
88,81,1.0
89,93,1.0
90,84,1.0
91,90,1.0
92,81,1.0
93,86,1.0
94,80,0.825
95,87,1.0
96,79,1.0
97,84,1.0
98,83,1.0
99,93,1.0
100,82,1.0
101,81,1.0
102,84,0.8690476190476191
103,85,1.0
104,73,1.0
105,81,0.8271604938271605
106,81,1.0
107,82,1.0
108,86,1.0
109,86,1.0
110,88,1.0
111,86,1.0
112,82,0.8780487804878049
113,79,1.0
114,92,0.5869565217391305
115,91,1.0
116,85,1.0
117,87,0.8620689655172413
118,83,1.0
119,93,0.8602150537634409
120,86,1.0
121,83,1.0
122,83,1.0
123,82,1.0
124,76,1.0
125,86,1.0
126,87,1.0
127,94,1.0
128,79,0.8481012658227848
129,91,1.0
130,84,1.0
131,87,1.0
132,85,1.0
133,84,1.0
134,90,1.0
135,87,1.0
136,89,1.0
137,91,1.0
138,87,1.0
139,78,1.0
140,78,1.0
141,78,1.0
142,83,1.0
143,86,1.0
144,89,1.0
145,82,1.0
146,80,1.0
147,86,1.0
148,83,0.8192771084337349
149,86,1.0
150,88,0.8522727272727273
151,83,1.0
152,83,0.8554216867469879
153,86,1.0
154,78,1.0
155,82,0.7926829268292683
156,83,1.0
157,82,1.0
158,82,1.0
159,75,1.0
160,76,1.0
161,75,0.88
162,80,1.0
163,84,1.0
164,84,1.0
165,80,0.9875
166,76,1.0
167,78,1.0
168,90,0.8333333333333334
169,85,0.8705882352941177
170,80,1.0
171,83,1.0
172,89,1.0
173,91,1.0
174,82,1.0
175,88,1.0
176,88,1.0
177,77,1.0
178,77,1.0
179,87,1.0
180,80,0.8
181,91,1.0
182,89,1.0
183,81,1.0
184,81,1.0
185,86,1.0
186,82,1.0
187,89,1.0
188,85,1.0
189,74,1.0
190,81,1.0
191,84,0.8452380952380952
192,75,1.0
193,90,0.9
194,81,1.0
195,81,1.0
196,88,0.9090909090909091
197,85,1.0
198,84,0.8452380952380952
199,88,1.0
200,82,1.0
201,85,1.0
202,76,1.0
203,84,0.8095238095238095
204,90,1.0
205,82,1.0
206,85,1.0
207,83,0.8674698795180723
208,79,1.0
209,90,1.0
210,78,1.0
211,78,1.0
212,91,1.0
213,89,1.0
214,87,1.0
215,87,1.0
216,84,1.0
217,93,1.0
218,81,1.0
219,82,1.0
220,78,1.0
221,86,1.0
222,85,1.0
223,86,1.0
224,95,0.7052631578947368
225,90,1.0
226,77,1.0
227,78,1.0
228,90,1.0
229,88,1.0
230,75,1.0
231,90,1.0
232,79,1.0
233,79,1.0
234,87,0.8735632183908046
235,84,0.7976190476190477
236,81,1.0
237,86,1.0
238,79,1.0
239,79,1.0
240,86,1.0
241,89,1.0
242,85,1.0
243,81,1.0
244,88,1.0
245,94,1.0
246,86,0.38372093023255816
247,78,1.0
248,91,1.0
249,87,1.0
250,86,1.0
251,83,1.0
252,81,1.0
253,83,1.0
254,84,0.44047619047619047
255,85,1.0
256,78,1.0
257,83,0.8313253012048193
258,91,1.0
259,82,1.0
260,78,1.0
261,94,1.0
262,91,1.0
263,81,1.0
264,75,1.0
265,87,1.0
266,87,1.0
267,86,1.0
268,85,1.0
269,78,1.0
270,85,1.0
271,90,0.8777777777777778
272,91,1.0
273,86,1.0
274,92,1.0
275,85,1.0
276,84,1.0
277,82,1.0
278,84,1.0
279,82,0.8780487804878049
280,77,0.8961038961038961
281,89,0.6741573033707865
282,83,1.0
283,89,1.0
284,75,0.9066666666666666
285,89,1.0
286,85,0.9764705882352941
287,76,1.0
288,77,1.0
289,87,1.0
290,87,1.0
291,80,0.9375
292,91,1.0
293,83,1.0
294,86,0.8837209302325582
295,86,1.0
296,83,1.0
297,81,1.0
298,87,0.9080459770114943
299,72,0.8888888888888888
300,81,1.0
301,76,1.0
302,91,1.0
303,74,1.0
304,86,1.0
305,88,1.0
306,85,1.0
307,80,1.0
308,84,1.0
309,77,1.0
310,83,0.963855421686747
311,92,1.0
312,77,1.0
313,86,1.0
314,85,1.0
315,79,1.0
316,86,1.0
317,80,1.0
318,88,1.0
319,80,0.725
320,89,1.0
321,85,1.0
322,83,1.0
323,88,1.0
324,87,0.8620689655172413
325,77,1.0
326,81,1.0
327,88,1.0
328,84,1.0
329,90,1.0
330,86,1.0
331,84,1.0
332,94,1.0
333,76,0.868421052631579
334,84,0.7023809523809523
335,89,0.6966292134831461
336,89,1.0
337,78,1.0
338,85,1.0
339,90,0.9777777777777777
340,95,1.0
341,87,1.0
