C052,C053,C054,C062,C063,C065,C058,C059,C060,C061,C055,C056,C057,C086,C087,C088,C089,R_visit,R_recommend
2,2,1,3,1,3,1,2,3,1,1,4,2,1,1,1,2,1,2
5,4,3,1,3,3,4,5,5,5,5,3,4,4,3,4,4,4,5
4,4,5,3,2,1,5,3,4,4,4,3,4,4,3,5,4,2,1
1,2,1,3,2,4,3,5,4,5,4,3,4,5,5,4,5,5,3
1,3,1,1,2,3,2,2,3,1,3,2,2,1,1,1,1,2,3
2,2,2,4,3,1,2,1,4,1,4,2,1,1,1,1,2,3,3
4,5,5,2,3,2,5,4,4,5,5,4,3,4,5,4,4,4,4
4,3,5,1,3,2,2,2,3,1,5,4,4,4,5,4,4,4,5
3,3,3,2,3,1,2,3,2,3,3,1,3,1,1,1,2,3,3
3,3,4,3,2,4,4,4,5,3,4,4,3,4,3,4,4,4,4
3,3,1,4,1,3,1,4,2,1,3,1,2,2,1,1,1,4,3
5,5,5,3,1,3,3,2,2,1,4,2,1,5,4,5,4,2,2
4,5,4,3,1,2,3,4,5,3,4,5,4,4,4,5,4,3,5
3,4,4,2,3,2,3,4,5,4,5,5,4,4,4,3,4,4,4
2,4,1,3,1,1,1,2,2,3,1,3,1,1,1,1,2,2,2
4,4,4,3,1,3,3,1,2,3,3,4,2,3,3,3,3,3,1
4,3,5,3,2,2,4,5,5,5,4,5,4,4,4,3,5,3,3
4,3,4,3,2,1,2,1,4,1,3,2,3,3,1,3,3,1,3
1,4,3,1,2,1,2,1,1,2,3,1,3,2,3,3,3,1,3
4,3,4,3,1,3,4,4,4,4,5,4,5,3,4,3,4,3,5
4,5,3,2,1,3,3,3,2,3,4,4,2,3,1,4,3,1,2
1,1,2,1,3,3,1,1,1,1,3,4,4,2,2,2,1,4,3
4,4,4,3,1,1,4,4,3,5,5,3,4,3,4,3,5,4,4
2,1,2,2,1,3,2,1,2,1,5,4,5,1,2,1,1,2,3
1,3,2,2,4,3,3,1,2,3,1,2,1,1,1,1,1,1,3
2,2,3,3,2,4,3,3,3,1,4,3,2,2,2,3,1,3,3
4,4,4,2,1,3,5,3,5,4,3,4,4,3,4,4,4,4,5
4,5,3,1,3,3,5,5,5,3,4,4,4,4,4,5,4,5,4
1,2,1,3,3,1,3,2,2,2,2,3,2,2,1,1,1,2,2
4,1,3,2,3,1,2,2,2,1,2,3,3,1,2,1,1,3,1
4,4,4,3,1,3,4,3,5,4,4,3,5,4,4,5,3,4,5
2,3,3,2,2,2,5,5,3,4,1,1,2,3,2,3,1,1,1
5,3,5,3,4,3,4,4,4,4,4,5,5,5,5,4,4,4,5
1,2,1,1,1,1,3,5,5,5,3,5,4,4,5,4,4,3,1
2,3,1,3,1,2,1,2,3,3,3,1,2,2,2,3,2,3,1
4,3,4,2,1,3,4,4,5,4,5,5,3,4,5,3,5,1,2
2,3,1,3,1,2,5,5,5,5,3,3,3,2,3,2,1,5,3
4,5,4,2,2,1,2,1,2,3,3,1,3,3,1,1,3,3,2
3,2,2,2,1,3,2,3,3,2,4,3,2,2,2,3,3,2,1
