假设,路径,标准化系数β,p值,结论,状态,备注
NH1,S_env -> O_cognition,0.3055,0.0000,支持,ready,直接路径（标准化系数）
NH2,S_service -> O_cognition,0.2433,0.0000,支持,ready,直接路径（标准化系数）
NH3,S_activity -> O_cognition,0.2525,0.0000,支持,ready,直接路径（标准化系数）
NH4,O_cognition -> R_intent,0.1468,0.0050,支持,ready,直接路径（标准化系数）
NH5,S_env -> R_intent,0.1567,0.0015,支持,ready,直接路径（标准化系数）
NH6,S_service -> R_intent,0.1841,0.0003,支持,ready,直接路径（标准化系数）
NH7,S_activity -> R_intent,0.2058,0.0001,支持,ready,直接路径（标准化系数）
NH8,S_env -> O -> R_intent,indirect=0.0449,"p_boot=0.0070;95%CI=[0.0138,0.0844]",中介显著,ready,bootstrap=2000;success=2000;fail=0
NH9,S_service -> O -> R_intent,indirect=0.0357,"p_boot=0.0070;95%CI=[0.0110,0.0693]",中介显著,ready,bootstrap=2000;success=2000;fail=0
NH10,S_activity -> O -> R_intent,indirect=0.0371,"p_boot=0.0070;95%CI=[0.0109,0.0705]",中介显著,ready,bootstrap=2000;success=2000;fail=0
