respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,invalid_union_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
1,1,0,1,0,0,2,4.461538,4.900000,4.600000,4.750000,4,4,2
2,1,1,1,0,0,2,2.923077,4,1.800000,2,4,4,3
3,2,0,1,0,0,2,3.384615,4.300000,3.900000,2,4,4,3
4,1,0,1,0,0,1,3.923077,4.400000,4.100000,4.500000,3,3,3
5,1,0,0,0,0,2,2,1.500000,1.400000,1.250000,4,4,3
6,1,0,1,0,0,2,3.846154,4.200000,4.200000,4.250000,4,3,2
7,1,0,1,0,0,2,3.923077,3.700000,4.400000,4,4,4,3
8,1,0,1,0,0,2,4.076923,4.100000,4.300000,1.750000,4,4,3
9,1,1,1,0,0,2,4.230769,4.200000,4.100000,3.250000,4,4,2
10,1,1,1,0,0,1,4.461538,4.200000,4.300000,4.500000,3,4,2
11,1,0,1,0,0,2,3.923077,3.900000,4,4.250000,4,3,2
12,1,0,1,0,0,1,4.307692,1.800000,4.400000,4.500000,3,4,3
13,1,0,1,0,0,1,3.923077,4,4.200000,4,4,3,3
14,1,0,1,0,0,2,2.846154,2,2.200000,1,4,4,2
15,1,0,1,0,0,2,4,4.200000,4.300000,4.250000,4,3,2
16,1,0,1,0,0,2,4.076923,4,4,3.500000,4,4,2
17,1,1,1,0,0,2,3.769231,4.300000,2.200000,4,4,3,3
18,1,1,1,0,0,2,4.461538,4.900000,4.900000,4.250000,4,3,3
19,2,0,1,0,0,2,4.153846,4.200000,4.100000,5,4,4,3
20,1,1,1,0,0,2,4.230769,4.600000,2.100000,4,4,3,2
21,1,0,1,0,0,2,4.307692,4,4,4.250000,4,3,2
22,1,1,1,0,0,2,3.923077,4.300000,4.100000,4.250000,4,4,3
23,2,1,1,0,0,1,4.384615,4.900000,4.900000,4.750000,4,4,2
24,1,0,1,0,0,1,3.923077,2.500000,4,3.500000,3,4,2
25,1,0,1,0,0,2,4.153846,2.500000,4.100000,4,4,4,2
26,1,0,1,0,0,2,3.846154,2.100000,4.100000,4,4,4,3
27,1,0,1,0,0,2,2,1.500000,1.400000,2,4,3,3
28,1,0,1,0,0,1,4.384615,5,5,4.500000,4,4,3
29,2,1,1,0,0,2,3.923077,4.200000,3.600000,4.500000,4,4,3
30,1,1,1,0,0,2,4.076923,4,4.100000,4,4,4,3
31,1,1,1,0,0,2,3.846154,4.100000,4.100000,4.250000,4,3,3
32,1,0,1,0,0,2,2.769231,1.700000,1.900000,2.500000,4,4,2
33,1,0,1,0,0,1,4.461538,4.700000,4.900000,4.500000,4,4,3
34,2,0,1,0,0,2,4.076923,4.300000,4.200000,4.500000,4,3,3
35,1,0,1,0,0,1,4.230769,4.400000,4.100000,1.750000,3,4,3
36,1,0,1,0,0,2,3.692308,2.500000,4,4,4,4,2
37,1,1,1,0,0,2,4,4.600000,3.900000,4.500000,4,3,3
38,1,1,1,0,0,2,3.769231,2.300000,4.200000,1.500000,4,3,3
39,1,0,1,0,0,2,3.307692,4.100000,4.500000,3.500000,4,4,3
40,2,0,1,0,0,2,3.846154,4,4.100000,5,4,4,3
41,1,1,1,0,0,2,4.076923,3.900000,3.900000,2.250000,4,4,2
42,2,1,1,0,0,2,4.153846,4.400000,3.900000,4.500000,4,3,3
43,2,0,1,0,0,2,4.153846,4.500000,1.500000,4.250000,4,4,2
44,1,1,1,0,0,2,4.230769,4.100000,4.100000,4.500000,3,3,3
45,1,1,1,0,0,2,4.153846,4.100000,4.500000,4,4,4,3
46,1,0,1,0,0,2,4.153846,4,4.300000,3.250000,4,3,2
47,1,0,1,0,0,1,4.461538,3.300000,4.800000,4.500000,3,4,3
48,1,0,1,0,0,2,4.538462,4.700000,4.800000,4.250000,4,4,2
49,1,0,1,0,0,2,4.153846,4.600000,4.100000,4,3,3,3
50,1,0,1,0,0,2,4.307692,4.300000,2.100000,4,4,3,2
51,1,0,1,0,0,2,2.384615,3.900000,4.100000,4.250000,4,3,2
52,1,0,1,0,0,1,3.923077,4.400000,4.500000,4,3,3,3
53,1,0,1,0,0,1,4.461538,4.400000,4.200000,4.250000,3,4,3
54,1,1,1,0,0,2,4.153846,4,4.300000,2.500000,4,4,3
55,1,0,1,0,0,2,4.153846,1.800000,4.100000,4.250000,4,4,2
56,1,0,1,0,0,2,4.307692,4.100000,4,3.750000,4,4,3
57,2,0,1,0,0,1,4.076923,4.400000,2.200000,4.500000,4,4,3
58,2,1,1,0,0,2,1.615385,1.500000,2.300000,1.250000,4,4,3
59,1,0,1,0,0,1,4,4.300000,4.300000,1.500000,4,3,3
60,1,0,1,0,0,1,3.769231,4.200000,4.200000,4,3,4,2
61,1,1,1,0,0,2,3.692308,4.100000,4,4,4,4,2
62,1,0,1,0,0,2,3.230769,4.100000,4.200000,4,4,4,3
63,1,0,1,0,0,2,4.230769,4.200000,4.100000,4.500000,4,3,3
64,1,0,1,0,0,2,4,4.100000,4.300000,3.750000,4,4,3
65,1,0,1,0,0,1,4.153846,3.800000,4.400000,3.750000,3,4,2
66,1,1,1,0,0,1,3.307692,4,3.800000,4.500000,3,4,2
67,1,1,1,0,0,1,4.384615,5,3.100000,2.250000,4,4,3
68,1,1,1,0,0,1,3.923077,4.200000,2,4.500000,3,4,3
69,2,0,1,0,0,2,4.230769,4.400000,3.900000,4.250000,4,4,3
70,1,0,1,0,0,2,4,4.300000,4.100000,4,4,4,3
71,1,0,1,0,0,2,4.230769,1.800000,4.400000,3.750000,4,4,3
72,1,0,1,0,0,1,4.230769,4.200000,4,4,4,4,3
