var1,var2,var1_code,var2_code,count
C008,C006,1,1,253
C008,C006,1,2,216
C008,C006,1,3,164
C008,C006,1,4,24
C008,C006,2,1,82
C008,C006,2,2,50
C008,C006,2,3,57
C008,C006,2,4,15
C008,C007,1,1,117
C008,C007,1,2,175
C008,C007,1,3,268
C008,C007,1,4,64
C008,C007,1,5,33
C008,C007,2,1,35
C008,C007,2,2,61
C008,C007,2,3,55
C008,C007,2,4,41
C008,C007,2,5,12
C008,C090,1,1,180
C008,C090,1,2,245
C008,C090,1,3,145
C008,C090,1,4,48
C008,C090,1,5,39
C008,C090,2,1,53
C008,C090,2,2,85
C008,C090,2,3,36
C008,C090,2,4,16
C008,C090,2,5,14
C008,C091,1,1,206
C008,C091,1,2,204
C008,C091,1,3,161
C008,C091,1,4,42
C008,C091,1,5,44
C008,C091,2,1,52
C008,C091,2,2,72
C008,C091,2,3,53
C008,C091,2,4,17
C008,C091,2,5,10
C008,C024,1,1,134
C008,C024,1,2,183
C008,C024,1,3,249
C008,C024,1,4,91
C008,C024,2,1,57
C008,C024,2,2,61
C008,C024,2,3,65
C008,C024,2,4,21
C008,C025,1,1,120
C008,C025,1,2,174
C008,C025,1,3,220
C008,C025,1,4,79
C008,C025,1,5,64
C008,C025,2,1,59
C008,C025,2,2,46
C008,C025,2,3,66
C008,C025,2,4,21
C008,C025,2,5,12
