label,group,dim1,dim2
18岁以下,年龄,-1.66,1.55
18-25岁,年龄,-0.66,-0.83
26-30岁,年龄,0.92,-0.31
31-40岁,年龄,1.02,-0.43
41-50岁,年龄,0.45,0.3
51-60岁,年龄,0.85,0.98
60岁以上,年龄,0.38,1.0
小学,教育背景,-0.69,1.26
初中,教育背景,-0.79,1.48
高中或中专,教育背景,0.73,0.72
大学专科,教育背景,0.82,-0.1
大学本科,教育背景,-0.41,-0.78
硕士研究生,教育背景,0.96,-0.93
博士研究生,教育背景,1.83,0.04
3000元以下,月可支配收入,-1.08,0.02
3001-5000元,月可支配收入,0.5,0.53
5001-8000元,月可支配收入,0.46,-0.45
8001-15000元,月可支配收入,0.35,-0.14
15000元以上,月可支配收入,0.74,-0.5
非常不愿意,知识付费意愿,0.1,0.86
不愿意,知识付费意愿,0.06,0.15
一般,知识付费意愿,-0.38,-0.14
愿意,知识付费意愿,0.02,-0.24
非常愿意,知识付费意愿,0.64,0.07
