respondent_id,visit_group,visit_depth_bin,attention_flag,logic_flag,cluster_label,perception_mean,importance_mean,performance_mean,cognition_mean,motive_count,new_project_pref_count,promo_pref_count
1,1,0,0,0,2,4.153846,4,3.800000,4,2,5,4
2,2,0,1,0,2,3.153846,3,3,3,1,1,1
3,2,0,0,0,2,2.538462,3.400000,2.800000,2,1,1,1
4,2,0,1,0,2,4,4,4,3,1,8,6
5,2,0,0,0,1,3.846154,4.200000,4,3.250000,2,1,2
6,2,0,0,0,1,3.769231,4,4,3,1,1,1
7,2,0,1,0,2,3.692308,4,4.100000,4,3,1,2
8,2,0,0,0,1,4,3.500000,3.300000,3,1,1,1
9,2,0,1,0,2,3.538462,4,4,4,7,3,3
10,2,0,1,0,2,3,3,3,3,1,1,1
11,1,0,0,0,2,1,1,5,5,1,1,1
12,2,0,1,0,2,2.615385,4,4,3,1,2,6
13,2,0,1,0,2,3,3,3,3,1,1,1
14,2,0,0,0,1,4.615385,4.200000,4.400000,4.500000,2,3,3
15,2,0,1,0,2,4,4,4,4,6,7,3
16,1,0,1,0,2,4.769231,5,5,5,1,1,1
17,2,0,1,0,2,4,4,4,4,2,2,2
18,1,0,0,0,2,4.153846,4,4.300000,3.500000,3,7,3
19,2,0,0,0,2,3.384615,3.600000,3.700000,3.750000,1,2,2
20,2,0,1,0,1,3,3,3,3,2,2,2
21,2,0,1,0,2,4,4.100000,4,4,2,3,2
22,2,0,1,0,2,3.307692,3.400000,3.500000,3,1,1,1
23,2,0,0,0,1,4.153846,4.500000,4,4,3,3,3
24,2,0,0,0,2,3.692308,4.100000,3.700000,3,4,2,2
25,2,0,1,0,2,4,4,4,4,2,2,3
26,2,0,0,0,2,5,3.900000,4.100000,5,1,2,1
27,2,0,0,0,1,4.461538,4.300000,4.400000,3.250000,2,2,3
28,1,0,0,0,1,3.461538,3.600000,3.900000,3.500000,3,2,1
29,2,0,1,0,2,3,3,3,3,1,5,4
30,2,0,1,0,2,3.076923,3.300000,3.200000,3.250000,3,3,3
31,2,0,1,0,2,4,4,4,4,2,2,2
32,1,0,1,0,1,5,5,5,5,1,2,2
33,2,0,1,0,1,3.692308,3.600000,3.700000,3.750000,2,3,2
34,2,0,1,0,2,4.692308,4.500000,4.400000,4.250000,1,8,3
35,2,0,1,0,1,4,4,4,4,2,1,1
36,2,0,1,0,2,5,5,5,4.250000,1,2,1
37,2,0,0,0,1,3.769231,4,4,4,3,2,1
38,2,0,1,0,2,4,4,4,4,1,8,6
39,2,0,0,0,1,3.615385,4,4,3.500000,1,2,3
40,2,0,0,0,2,3.538462,4,3.400000,3,4,4,3
41,2,0,1,0,2,4.461538,4,4,4,1,1,1
42,2,0,0,0,2,4,4,4,4,2,4,2
43,2,0,1,0,2,3,3,3,3,2,2,2
44,2,0,1,0,2,3.230769,3,3,3,1,6,6
45,2,0,1,0,2,4,4,4,4,2,2,2
46,2,0,1,0,2,3,3,3,3,2,2,2
47,2,0,1,0,2,5,5,5,5,2,8,6
48,2,0,1,0,1,4,4,4,4,1,2,4
49,2,0,1,0,2,4,4.100000,4,4,2,2,1
50,2,0,1,0,2,3,5,5,4,1,3,4
51,2,0,1,0,2,5,5,5,5,2,1,1
52,2,0,0,0,2,3.384615,3.700000,4.100000,3.750000,3,3,3
53,2,0,0,0,2,3.692308,4.300000,3.500000,3.250000,4,3,4
54,2,0,1,0,2,3,3,3,3,2,1,1
55,1,0,0,0,2,4.153846,4.600000,3.900000,3.750000,2,7,5
56,2,0,0,0,1,4.692308,4.400000,4,4,2,3,3
57,2,0,1,0,2,5,5,5,5,2,1,2
58,1,0,0,0,2,4.230769,4.500000,4.300000,3.500000,5,2,3
59,2,0,1,0,2,3,3,3,3,1,2,2
60,2,0,0,0,2,4,4,3,3,1,1,4
61,2,0,1,0,1,3,3,3,3,7,8,6
62,1,0,1,0,2,5,5,5,5,1,1,1
63,2,0,1,0,1,3,3,3,3,1,1,2
64,1,0,1,0,2,4.230769,4.700000,4.300000,4,2,4,3
65,2,0,1,0,2,3.846154,3.600000,4,4,1,1,1
66,2,0,1,0,2,2.384615,3,3,5,5,7,6
67,1,0,1,0,2,4,3.200000,3,3,3,3,3
68,2,0,1,0,2,3.615385,3.900000,3.900000,4.500000,1,2,2
69,2,0,1,0,2,4,4.300000,4,4,1,1,1
70,2,0,1,0,2,4,4,4,4,1,4,1
71,2,0,0,0,2,4.076923,3.800000,4,3.500000,1,3,2
72,1,0,1,0,2,4,4,4,4,2,2,2
73,1,0,1,0,1,4,4,4,4,1,1,1
74,2,0,0,0,2,4.307692,4.100000,4.200000,3.750000,2,4,2
75,2,0,1,0,2,3,5,5,3,1,2,1
76,2,0,0,0,2,1,1,1,1,1,1,1
77,2,0,1,0,2,4,4,4,4,1,2,1
78,2,0,1,0,2,3,3,3,3,1,2,2
79,2,0,0,0,2,4,4.400000,3,2.750000,2,6,3
80,2,0,1,0,2,4,3.300000,3.500000,3.500000,1,4,2
81,1,0,0,0,2,3.615385,3.900000,3.900000,3.500000,2,4,3
82,2,0,1,0,2,3.769231,3.700000,3.500000,3.500000,5,3,4
83,2,0,0,0,2,4.153846,4.100000,4.600000,4.500000,3,1,1
84,2,0,0,0,2,4,4.500000,3.700000,4,4,6,3
85,2,0,0,0,2,1,1,1,1,2,2,2
86,2,0,1,0,1,5,5,5,5,2,3,4
87,2,0,1,0,2,4,4,4,4,3,2,3
88,2,0,1,0,1,5,5,5,5,3,2,2
89,2,0,1,0,2,3,3,3,3,1,2,2
90,2,0,1,0,2,2.846154,2.400000,2.600000,3,1,3,4
91,1,0,0,0,1,4.384615,4.400000,4.400000,4.500000,4,5,3
92,2,0,1,0,2,5,5,5,5,1,1,1
93,2,0,0,0,1,3.538462,3.500000,3.800000,3.750000,1,2,2
94,2,0,1,0,2,5,5,5,5,1,2,2
95,2,0,0,0,1,3.615385,4,4,4,1,5,2
96,2,0,0,0,2,4.307692,4.900000,4.900000,4,3,4,3
97,2,0,1,0,2,5,5,5,5,1,3,3
98,2,0,0,0,2,3.846154,4.400000,3.800000,3.250000,3,2,2
99,2,0,0,0,2,3.846154,4.400000,4.700000,5,3,6,4
100,2,0,1,0,2,3.538462,3.600000,3.700000,3.250000,2,2,2
101,2,0,0,0,2,4,4,4,4,1,3,4
102,1,1,1,0,2,5,5,5,5,7,3,4
103,1,0,1,0,2,5,5,5,5,1,1,1
104,2,0,1,0,2,4,4,4,3,2,2,3
105,2,0,0,0,2,3.384615,4.100000,3.800000,3,2,2,3
106,2,0,0,0,2,4,4.400000,3.900000,3.250000,3,3,3
