location,old_value,new_value,source_table,calculation_rule
paragraph,本次调查累计发放问卷961份，有效问卷961份，问卷有效率100.00%。以下为有效问卷样本的结构分析。,本次调查累计发放问卷961份，有效问卷961份，问卷有效率100.00%。以下为有效问卷样本的结构分析。,survey_clean.csv,正则刷新样本总量段落
paragraph,本次调查回收有效问卷共961份，在所有受访者中，男女比例为500:461（52.03%:47.97%）；年龄结构中，编码3占38.40%，编码2占33.09%，编码4占16.13%。,本次调查回收有效问卷共961份，在所有受访者中，男女比例为500:461（52.03%:47.97%）；年龄结构中，编码3占38.40%，编码2占33.09%，编码4占16.13%。,"单选题频数百分比表.csv(Q1,Q2)",正则刷新性别年龄段落
paragraph_append,(missing),正式调查按既定配额实施，累计发放问卷961份，回收有效问卷961份（到访674份、未到访287份），有效回收率100.00%。,tables/*.csv,补充正式调查配额段落
table1_r2_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r2_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r2_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r7_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r7_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r7_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table2_r2_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table2_r3_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table2_r4_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table2_r5_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table3_r2_c2,3,3,survey_clean.csv,维度题项数
table3_r2_c3,0.8277,0.8277,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r2_c4,良好,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r3_c2,2,2,survey_clean.csv,维度题项数
table3_r3_c3,0.7355,0.7355,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r3_c4,可接受,可接受,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r4_c2,3,3,survey_clean.csv,维度题项数
table3_r4_c3,0.7771,0.7771,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r4_c4,可接受,可接受,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r5_c2,4,4,survey_clean.csv,维度题项数
table3_r5_c3,0.8486,0.8486,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r5_c4,良好,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r6_c2,3,3,survey_clean.csv,维度题项数
table3_r6_c3,0.8069,0.8069,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r6_c4,良好,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r7_c2,13,13,survey_clean.csv,维度题项数
table3_r7_c3,0.8638,0.8638,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r7_c4,良好,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table4_r2_c2,0.9536,0.9536,效度分析表.csv,KMO
table4_r3_c2,19803.061,19803.061,效度分析表.csv,Bartlett球形检验近似卡方
table4_r4_c2,666,666,效度分析表.csv,自由度df
table4_r5_c2,<0.001,<0.001,效度分析表.csv,显著性p
table5_r2_c1,文化程度,文化程度,结构表口径,分组标题/留空控制
table5_r2_c2,初中及以下,初中及以下,单选题频数百分比表.csv,属性名
table5_r2_c3,69,69,单选题频数百分比表.csv,人数
table5_r2_c4,7.18%,7.18%,单选题频数百分比表.csv,比例(2位小数)
table5_r2_c5,100%,100%,分组总计,组首100%
table5_r3_c1,,,结构表口径,分组标题/留空控制
table5_r3_c2,中专/高中,中专/高中,单选题频数百分比表.csv,属性名
table5_r3_c3,100,100,单选题频数百分比表.csv,人数
table5_r3_c4,10.41%,10.41%,单选题频数百分比表.csv,比例(2位小数)
table5_r3_c5,,,分组总计,组首100%
table5_r4_c1,,,结构表口径,分组标题/留空控制
table5_r4_c2,大专,大专,单选题频数百分比表.csv,属性名
table5_r4_c3,206,206,单选题频数百分比表.csv,人数
table5_r4_c4,21.44%,21.44%,单选题频数百分比表.csv,比例(2位小数)
table5_r4_c5,,,分组总计,组首100%
table5_r5_c1,,,结构表口径,分组标题/留空控制
table5_r5_c2,本科,本科,单选题频数百分比表.csv,属性名
table5_r5_c3,419,419,单选题频数百分比表.csv,人数
table5_r5_c4,43.60%,43.60%,单选题频数百分比表.csv,比例(2位小数)
table5_r5_c5,,,分组总计,组首100%
table5_r6_c1,,,结构表口径,分组标题/留空控制
table5_r6_c2,硕士及以上,硕士及以上,单选题频数百分比表.csv,属性名
table5_r6_c3,167,167,单选题频数百分比表.csv,人数
table5_r6_c4,17.38%,17.38%,单选题频数百分比表.csv,比例(2位小数)
table5_r6_c5,,,分组总计,组首100%
table5_r7_c1,职业,职业,结构表口径,分组标题/留空控制
table5_r7_c2,学生,学生,单选题频数百分比表.csv,属性名
table5_r7_c3,133,133,单选题频数百分比表.csv,人数
table5_r7_c4,13.84%,13.84%,单选题频数百分比表.csv,比例(2位小数)
table5_r7_c5,100%,100%,分组总计,组首100%
table5_r8_c1,,,结构表口径,分组标题/留空控制
table5_r8_c2,企业/公司职员,企业/公司职员,单选题频数百分比表.csv,属性名
table5_r8_c3,339,339,单选题频数百分比表.csv,人数
table5_r8_c4,35.28%,35.28%,单选题频数百分比表.csv,比例(2位小数)
table5_r8_c5,,,分组总计,组首100%
table5_r9_c1,,,结构表口径,分组标题/留空控制
table5_r9_c2,事业单位人员/公务员,事业单位人员/公务员,单选题频数百分比表.csv,属性名
table5_r9_c3,87,87,单选题频数百分比表.csv,人数
table5_r9_c4,9.05%,9.05%,单选题频数百分比表.csv,比例(2位小数)
table5_r9_c5,,,分组总计,组首100%
table5_r10_c1,,,结构表口径,分组标题/留空控制
table5_r10_c2,自由职业者,自由职业者,单选题频数百分比表.csv,属性名
table5_r10_c3,93,93,单选题频数百分比表.csv,人数
table5_r10_c4,9.68%,9.68%,单选题频数百分比表.csv,比例(2位小数)
table5_r10_c5,,,分组总计,组首100%
table5_r11_c1,,,结构表口径,分组标题/留空控制
table5_r11_c2,个体经营者,个体经营者,单选题频数百分比表.csv,属性名
table5_r11_c3,156,156,单选题频数百分比表.csv,人数
table5_r11_c4,16.23%,16.23%,单选题频数百分比表.csv,比例(2位小数)
table5_r11_c5,,,分组总计,组首100%
table5_r12_c1,,,结构表口径,分组标题/留空控制
table5_r12_c2,服务业从业者,服务业从业者,单选题频数百分比表.csv,属性名
table5_r12_c3,112,112,单选题频数百分比表.csv,人数
table5_r12_c4,11.65%,11.65%,单选题频数百分比表.csv,比例(2位小数)
table5_r12_c5,,,分组总计,组首100%
table5_r13_c1,,,结构表口径,分组标题/留空控制
table5_r13_c2,离退休人员,离退休人员,单选题频数百分比表.csv,属性名
table5_r13_c3,1,1,单选题频数百分比表.csv,人数
table5_r13_c4,0.10%,0.10%,单选题频数百分比表.csv,比例(2位小数)
table5_r13_c5,,,分组总计,组首100%
table5_r14_c1,,,结构表口径,分组标题/留空控制
table5_r14_c2,其他,其他,单选题频数百分比表.csv,属性名
table5_r14_c3,40,40,单选题频数百分比表.csv,人数
table5_r14_c4,4.16%,4.16%,单选题频数百分比表.csv,比例(2位小数)
table5_r14_c5,,,分组总计,组首100%
table5_r15_c1,月收入,月收入,结构表口径,分组标题/留空控制
table5_r15_c2,3000元以下,3000元以下,单选题频数百分比表.csv,属性名
table5_r15_c3,211,211,单选题频数百分比表.csv,人数
table5_r15_c4,21.96%,21.96%,单选题频数百分比表.csv,比例(2位小数)
table5_r15_c5,100%,100%,分组总计,组首100%
table5_r16_c1,,,结构表口径,分组标题/留空控制
table5_r16_c2,3001-5000元,3001-5000元,单选题频数百分比表.csv,属性名
table5_r16_c3,238,238,单选题频数百分比表.csv,人数
table5_r16_c4,24.77%,24.77%,单选题频数百分比表.csv,比例(2位小数)
table5_r16_c5,,,分组总计,组首100%
table5_r17_c1,,,结构表口径,分组标题/留空控制
table5_r17_c2,5001-8000元,5001-8000元,单选题频数百分比表.csv,属性名
table5_r17_c3,313,313,单选题频数百分比表.csv,人数
table5_r17_c4,32.57%,32.57%,单选题频数百分比表.csv,比例(2位小数)
table5_r17_c5,,,分组总计,组首100%
table5_r18_c1,,,结构表口径,分组标题/留空控制
table5_r18_c2,8001-15000元,8001-15000元,单选题频数百分比表.csv,属性名
table5_r18_c3,156,156,单选题频数百分比表.csv,人数
table5_r18_c4,16.23%,16.23%,单选题频数百分比表.csv,比例(2位小数)
table5_r18_c5,,,分组总计,组首100%
table5_r19_c1,,,结构表口径,分组标题/留空控制
table5_r19_c2,15000元以上,15000元以上,单选题频数百分比表.csv,属性名
table5_r19_c3,43,43,单选题频数百分比表.csv,人数
table5_r19_c4,4.47%,4.47%,单选题频数百分比表.csv,比例(2位小数)
table5_r19_c5,,,分组总计,组首100%
table5_r20_c1,有效填写人次,有效填写人次,样本总量,固定标签
table5_r20_c2,961,961,survey_clean.csv,有效样本总数
