阈值方法,item_no,item_text,importance_mean,performance_mean,importance_threshold,performance_threshold,quadrant,is_priority
均值阈值,1,①丰富的中医药文化展示和非遗体验项目,3.771590909090909,3.7443181818181817,3.7671590909090917,3.7061363636363636,Q1_保持优势,0
均值阈值,2,②环境舒适度与卫生状况,3.776136363636364,3.6988636363636362,3.7671590909090917,3.7061363636363636,Q2_优先改进,1
均值阈值,3,③便捷的交通、充足的停车位,3.7420454545454547,3.668181818181818,3.7671590909090917,3.7061363636363636,Q3_低优先级,0
均值阈值,4,④亲友推荐/正面评价多,3.7125,3.7170454545454548,3.7671590909090917,3.7061363636363636,Q4_可能过度投入,0
均值阈值,5,⑤特色美食、文创产品的种类及品质,3.7636363636363637,3.6,3.7671590909090917,3.7061363636363636,Q3_低优先级,0
均值阈值,6,⑥提供个性化中医体质辨识、养生咨询等服务,3.786363636363636,3.7227272727272727,3.7671590909090917,3.7061363636363636,Q1_保持优势,0
均值阈值,7,⑦服务专业度与态度,3.859090909090909,3.7386363636363638,3.7671590909090917,3.7061363636363636,Q1_保持优势,0
均值阈值,8,⑧产品价格与优惠力度,3.7511363636363635,3.706818181818182,3.7671590909090917,3.7061363636363636,Q4_可能过度投入,0
均值阈值,9,⑨中医药服务专业度,3.809090909090909,3.7170454545454548,3.7671590909090917,3.7061363636363636,Q1_保持优势,0
均值阈值,10,⑩线上线下宣传推广,3.7,3.7477272727272726,3.7671590909090917,3.7061363636363636,Q4_可能过度投入,0
中位数阈值,1,①丰富的中医药文化展示和非遗体验项目,3.771590909090909,3.7443181818181817,3.7676136363636363,3.7170454545454548,Q1_保持优势,0
中位数阈值,2,②环境舒适度与卫生状况,3.776136363636364,3.6988636363636362,3.7676136363636363,3.7170454545454548,Q2_优先改进,1
中位数阈值,3,③便捷的交通、充足的停车位,3.7420454545454547,3.668181818181818,3.7676136363636363,3.7170454545454548,Q3_低优先级,0
中位数阈值,4,④亲友推荐/正面评价多,3.7125,3.7170454545454548,3.7676136363636363,3.7170454545454548,Q4_可能过度投入,0
中位数阈值,5,⑤特色美食、文创产品的种类及品质,3.7636363636363637,3.6,3.7676136363636363,3.7170454545454548,Q3_低优先级,0
中位数阈值,6,⑥提供个性化中医体质辨识、养生咨询等服务,3.786363636363636,3.7227272727272727,3.7676136363636363,3.7170454545454548,Q1_保持优势,0
中位数阈值,7,⑦服务专业度与态度,3.859090909090909,3.7386363636363638,3.7676136363636363,3.7170454545454548,Q1_保持优势,0
中位数阈值,8,⑧产品价格与优惠力度,3.7511363636363635,3.706818181818182,3.7676136363636363,3.7170454545454548,Q3_低优先级,0
中位数阈值,9,⑨中医药服务专业度,3.809090909090909,3.7170454545454548,3.7676136363636363,3.7170454545454548,Q1_保持优势,0
中位数阈值,10,⑩线上线下宣传推广,3.7,3.7477272727272726,3.7676136363636363,3.7170454545454548,Q4_可能过度投入,0
