模块,模型,阈值,n,TP,FP,TN,FN,accuracy,precision,recall,f1,auc,pseudo_r2,说明
阈值敏感性,base(Q11>=3 & Q12>=3),0.4,880,0,0,645,235,0.7329545454545454,nan,0.0,nan,0.5604981032492166,0.00815847974144912,基线模型阈值比较
阈值敏感性,base(Q11>=3 & Q12>=3),0.5,880,0,0,645,235,0.7329545454545454,nan,0.0,nan,0.5604981032492166,0.00815847974144912,基线模型阈值比较
阈值敏感性,base(Q11>=3 & Q12>=3),0.6,880,0,0,645,235,0.7329545454545454,nan,0.0,nan,0.5604981032492166,0.00815847974144912,基线模型阈值比较
共线性检查,base(Q11>=3 & Q12>=3),,880,,,,,,,,,,,"Q2_age_code: VIF=1.006, R2=0.006"
共线性检查,base(Q11>=3 & Q12>=3),,880,,,,,,,,,,,"Q6_habit_code: VIF=1.056, R2=0.053"
共线性检查,base(Q11>=3 & Q12>=3),,880,,,,,,,,,,,"Q7_knowledge_code: VIF=1.075, R2=0.070"
共线性检查,base(Q11>=3 & Q12>=3),,880,,,,,,,,,,,"Q8_visit_status_code: VIF=1.077, R2=0.072"
共线性检查,base(Q11>=3 & Q12>=3),,880,,,,,,,,,,,"perception_mean: VIF=1.469, R2=0.319"
共线性检查,base(Q11>=3 & Q12>=3),,880,,,,,,,,,,,"performance_mean: VIF=1.300, R2=0.231"
共线性检查,base(Q11>=3 & Q12>=3),,880,,,,,,,,,,,"cognition_mean: VIF=1.271, R2=0.213"
共线性检查,base(Q11>=3 & Q12>=3),,880,,,,,,,,,,,"motive_count: VIF=1.167, R2=0.143"
替代因变量稳健性,alt_stay(Q11>=3),0.5,880,,,,,0.525,,,,0.5611870399470681,0.02189200394767621,与基线方向一致=6，方向反转=2
替代因变量稳健性,alt_spend(Q12>=3),0.5,880,,,,,0.5681818181818182,,,,0.5953535227973129,0.03012691328203354,与基线方向一致=5，方向反转=3
