location,old_value,new_value,source_table,calculation_rule
paragraph_formal_allocation,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,正式调查按既定配额实施，累计发放问卷1000份，回收问卷1000份，质控后有效问卷863份（到访657份、未到访206份），有效率86.30%。,metrics.paragraphs,正式调查配额段
paragraph_formal_allocation,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,正式调查按既定配额实施，累计发放问卷1000份，回收问卷1000份，质控后有效问卷863份（到访657份、未到访206份），有效率86.30%。,metrics.paragraphs,正式调查配额段
paragraph_overall_summary,本次调查累计发放问卷961份，回收问卷961份，质控后有效问卷880份（有效率91.57%）。以下为有效问卷样本的结构分析。,本次调查累计发放问卷1000份，回收问卷1000份，质控后有效问卷863份（有效率86.30%）。以下为有效问卷样本的结构分析。,metrics.paragraphs,样本总量段
paragraph_gender_age,本次调查回收有效问卷共880份，在所有受访者中，男女比例为452:428（51.36%:48.64%）。从年龄分布看，18岁以下占4.09%，18-25岁占33.41%，26-45岁占35.91%，46-64岁占17.39%，65岁及以上占9.20%。,本次调查回收有效问卷共863份，在所有受访者中，男女比例为443:420（51.33%:48.67%）。从年龄分布看，18岁以下占4.17%，18-25岁占36.38%，26-45岁占32.44%，46-64岁占17.61%，65岁及以上占9.39%。,metrics.paragraphs,性别年龄段
paragraph_formal_allocation,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,正式调查按既定配额实施，累计发放问卷1000份，回收问卷1000份，质控后有效问卷863份（到访657份、未到访206份），有效率86.30%。,metrics.paragraphs,正式调查配额段
table3_r2_c2,3,3,metrics.tables.table3_reliability,维度题项数
table3_r2_c3,0.8063,0.8070,metrics.tables.table3_reliability,Cronbach alpha（4位小数）
table3_r2_c4,良好,良好,metrics.tables.table3_reliability,信度等级
table3_r3_c2,2,2,metrics.tables.table3_reliability,维度题项数
table3_r3_c3,0.7052,0.7067,metrics.tables.table3_reliability,Cronbach alpha（4位小数）
table3_r3_c4,可接受,可接受,metrics.tables.table3_reliability,信度等级
table3_r4_c2,3,3,metrics.tables.table3_reliability,维度题项数
table3_r4_c3,0.7440,0.7470,metrics.tables.table3_reliability,Cronbach alpha（4位小数）
table3_r4_c4,可接受,可接受,metrics.tables.table3_reliability,信度等级
table3_r5_c2,4,4,metrics.tables.table3_reliability,维度题项数
table3_r5_c3,0.8286,0.8282,metrics.tables.table3_reliability,Cronbach alpha（4位小数）
table3_r5_c4,良好,良好,metrics.tables.table3_reliability,信度等级
table3_r6_c2,3,3,metrics.tables.table3_reliability,维度题项数
table3_r6_c3,0.7835,0.7852,metrics.tables.table3_reliability,Cronbach alpha（4位小数）
table3_r6_c4,可接受,可接受,metrics.tables.table3_reliability,信度等级
table3_r7_c2,13,13,metrics.tables.table3_reliability,维度题项数
table3_r7_c3,0.8278,0.8301,metrics.tables.table3_reliability,Cronbach alpha（4位小数）
table3_r7_c4,良好,良好,metrics.tables.table3_reliability,信度等级
table4_r2_c2,0.9396,0.8306,metrics.tables.table4_validity,KMO/Bartlett
table4_r3_c2,15872.136,3847.591,metrics.tables.table4_validity,KMO/Bartlett
table4_r4_c2,666,78,metrics.tables.table4_validity,KMO/Bartlett
table4_r5_c2,<0.001,<0.001,metrics.tables.table4_validity,KMO/Bartlett
table5_r2_c1,文化程度,文化程度,metrics.tables.table5_sample_structure,变量名
table5_r2_c2,初中及以下,初中及以下,metrics.tables.table5_sample_structure,属性
table5_r2_c3,69,69,metrics.tables.table5_sample_structure,人数
table5_r2_c4,7.84%,8.00%,metrics.tables.table5_sample_structure,比例
table5_r2_c5,100%,100%,metrics.tables.table5_sample_structure,总计
table5_r3_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r3_c2,中专/高中,中专/高中,metrics.tables.table5_sample_structure,属性
table5_r3_c3,97,95,metrics.tables.table5_sample_structure,人数
table5_r3_c4,11.02%,11.01%,metrics.tables.table5_sample_structure,比例
table5_r3_c5,,,metrics.tables.table5_sample_structure,总计
table5_r4_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r4_c2,大专,大专,metrics.tables.table5_sample_structure,属性
table5_r4_c3,205,204,metrics.tables.table5_sample_structure,人数
table5_r4_c4,23.30%,23.64%,metrics.tables.table5_sample_structure,比例
table5_r4_c5,,,metrics.tables.table5_sample_structure,总计
table5_r5_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r5_c2,本科,本科,metrics.tables.table5_sample_structure,属性
table5_r5_c3,345,332,metrics.tables.table5_sample_structure,人数
table5_r5_c4,39.20%,38.47%,metrics.tables.table5_sample_structure,比例
table5_r5_c5,,,metrics.tables.table5_sample_structure,总计
table5_r6_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r6_c2,硕士及以上,硕士及以上,metrics.tables.table5_sample_structure,属性
table5_r6_c3,164,163,metrics.tables.table5_sample_structure,人数
table5_r6_c4,18.64%,18.89%,metrics.tables.table5_sample_structure,比例
table5_r6_c5,,,metrics.tables.table5_sample_structure,总计
table5_r7_c1,职业,职业,metrics.tables.table5_sample_structure,变量名
table5_r7_c2,学生,学生,metrics.tables.table5_sample_structure,属性
table5_r7_c3,59,46,metrics.tables.table5_sample_structure,人数
table5_r7_c4,6.70%,5.33%,metrics.tables.table5_sample_structure,比例
table5_r7_c5,100%,100%,metrics.tables.table5_sample_structure,总计
table5_r8_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r8_c2,企业/公司职员,企业/公司职员,metrics.tables.table5_sample_structure,属性
table5_r8_c3,339,337,metrics.tables.table5_sample_structure,人数
table5_r8_c4,38.52%,39.05%,metrics.tables.table5_sample_structure,比例
table5_r8_c5,,,metrics.tables.table5_sample_structure,总计
table5_r9_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r9_c2,事业单位人员/公务员,事业单位人员/公务员,metrics.tables.table5_sample_structure,属性
table5_r9_c3,84,83,metrics.tables.table5_sample_structure,人数
table5_r9_c4,9.55%,9.62%,metrics.tables.table5_sample_structure,比例
table5_r9_c5,,,metrics.tables.table5_sample_structure,总计
table5_r10_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r10_c2,自由职业者,自由职业者,metrics.tables.table5_sample_structure,属性
table5_r10_c3,91,155,metrics.tables.table5_sample_structure,人数
table5_r10_c4,10.34%,17.96%,metrics.tables.table5_sample_structure,比例
table5_r10_c5,,,metrics.tables.table5_sample_structure,总计
table5_r11_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r11_c2,个体经营者,个体经营者,metrics.tables.table5_sample_structure,属性
table5_r11_c3,156,111,metrics.tables.table5_sample_structure,人数
table5_r11_c4,17.73%,12.86%,metrics.tables.table5_sample_structure,比例
table5_r11_c5,,,metrics.tables.table5_sample_structure,总计
table5_r12_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r12_c2,服务业从业者,服务业从业者,metrics.tables.table5_sample_structure,属性
table5_r12_c3,111,91,metrics.tables.table5_sample_structure,人数
table5_r12_c4,12.61%,10.54%,metrics.tables.table5_sample_structure,比例
table5_r12_c5,,,metrics.tables.table5_sample_structure,总计
table5_r13_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r13_c2,离退休人员,离退休人员,metrics.tables.table5_sample_structure,属性
table5_r13_c3,0,0,metrics.tables.table5_sample_structure,人数
table5_r13_c4,0.00%,0.00%,metrics.tables.table5_sample_structure,比例
table5_r13_c5,,,metrics.tables.table5_sample_structure,总计
table5_r14_c1,,,metrics.tables.table5_sample_structure,变量名
table5_r14_c2,其他,其他,metrics.tables.table5_sample_structure,属性
table5_r14_c3,40,40,metrics.tables.table5_sample_structure,人数
table5_r14_c4,4.55%,4.63%,metrics.tables.table5_sample_structure,比例
table5_r14_c5,,,metrics.tables.table5_sample_structure,总计
