var1,var2,var1_code,var2_code,count
C008,C006,1,1,254
C008,C006,1,2,217
C008,C006,1,3,165
C008,C006,1,4,25
C008,C006,2,1,81
C008,C006,2,2,53
C008,C006,2,3,68
C008,C006,2,4,17
C008,C007,1,1,117
C008,C007,1,2,176
C008,C007,1,3,270
C008,C007,1,4,65
C008,C007,1,5,33
C008,C007,2,1,36
C008,C007,2,2,60
C008,C007,2,3,56
C008,C007,2,4,52
C008,C007,2,5,15
C008,C090,1,1,39
C008,C090,1,2,49
C008,C090,1,3,146
C008,C090,1,4,246
C008,C090,1,5,181
C008,C090,2,1,14
C008,C090,2,2,16
C008,C090,2,3,42
C008,C090,2,4,92
C008,C090,2,5,55
C008,C091,1,1,44
C008,C091,1,2,44
C008,C091,1,3,161
C008,C091,1,4,205
C008,C091,1,5,207
C008,C091,2,1,10
C008,C091,2,2,17
C008,C091,2,3,55
C008,C091,2,4,84
C008,C091,2,5,53
C008,C024,1,1,135
C008,C024,1,2,185
C008,C024,1,3,250
C008,C024,1,4,91
C008,C024,2,1,70
C008,C024,2,2,62
C008,C024,2,3,65
C008,C024,2,4,22
C008,C025,1,1,121
C008,C025,1,2,176
C008,C025,1,3,221
C008,C025,1,4,79
C008,C025,1,5,64
C008,C025,2,1,73
C008,C025,2,2,47
C008,C025,2,3,66
C008,C025,2,4,21
C008,C025,2,5,12
