location,old_value,new_value,source_table,calculation_rule
paragraph,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,run_metadata.json + 单选题频数百分比表.csv(Q8),正则刷新正式调查配额段落（分母=raw_n）
paragraph,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,run_metadata.json + 单选题频数百分比表.csv(Q8),正则刷新正式调查配额段落（分母=raw_n）
paragraph,本次调查累计发放问卷961份，回收问卷961份，质控后有效问卷880份（有效率91.57%）。以下为有效问卷样本的结构分析。,本次调查累计发放问卷961份，回收问卷961份，质控后有效问卷880份（有效率91.57%）。以下为有效问卷样本的结构分析。,run_metadata.json,正则刷新样本总量段落（分母=raw_n）
paragraph,本次调查回收有效问卷共880份，在所有受访者中，男女比例为452:428（51.36%:48.64%）。从年龄分布看，18岁以下占4.09%，18-25岁占33.41%，26-45岁占35.91%，46-64岁占17.39%，65岁及以上占9.20%。,本次调查回收有效问卷共880份，在所有受访者中，男女比例为452:428（51.36%:48.64%）。从年龄分布看，18岁以下占4.09%，18-25岁占33.41%，26-45岁占35.91%，46-64岁占17.39%，65岁及以上占9.20%。,"单选题频数百分比表.csv(Q1,Q2)",正则刷新性别年龄段落
paragraph,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,正式调查按既定配额实施，累计发放问卷961份，回收问卷961份，质控后有效问卷880份（到访661份、未到访219份），有效率91.57%。,run_metadata.json + 单选题频数百分比表.csv(Q8),正则刷新正式调查配额段落（分母=raw_n）
table1_r2_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r2_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r2_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r3_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r4_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r5_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r6_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r7_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r7_c3,待补,待补,无（预调查数据缺失）,预调查项保留待补
table1_r7_c4,待补,待补,无（预调查数据缺失）,预调查项保留待补
table2_r2_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table2_r3_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table2_r4_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table2_r5_c2,待补,待补,无（预调查数据缺失）,预调查项保留待补
table3_r2_c2,3,3,survey_clean.csv,维度题项数
table3_r2_c3,0.8063,0.8063,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r2_c4,良好,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r3_c2,2,2,survey_clean.csv,维度题项数
table3_r3_c3,0.7052,0.7052,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r3_c4,可接受,可接受,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r4_c2,3,3,survey_clean.csv,维度题项数
table3_r4_c3,0.7440,0.7440,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r4_c4,可接受,可接受,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r5_c2,4,4,survey_clean.csv,维度题项数
table3_r5_c3,0.8286,0.8286,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
table3_r5_c4,良好,良好,alpha评级规则,>=0.8良好，>=0.7可接受
table3_r6_c2,3,3,survey_clean.csv,维度题项数
table3_r6_c3,0.7835,0.7835,survey_clean.csv + cronbach_alpha,Cronbach alpha（4位小数）
